PatternID,Text,Cause,Effect
44,"Relative age means age in comparison with other rocks, either younger or older. The relative ages of rocks are important for understanding Earths history. New rock layers are always deposited on top of existing rock layers.",understanding Earths history,The relative ages of rocks are important
1,"New rock layers are always deposited on top of existing rock layers. Therefore, deeper layers must be older than layers closer to the surface. This is the law of superposition.",New rock layers are always deposited on top of existing rock layers,deeper layers must be older than layers closer to the surface .
82,It is important that this chalk layer goes across the English Channel. The rock is so soft that the Channel Tunnel connecting England and France was carved into it! ,The rock is so soft,the Channel Tunnel connecting England and France was carved into it !
0,"European geologists were the first to put together the geologic time scale. So, many of the names of the time periods are from places in Europe. The Jurassic Period is named for the Jura Mountains in France and Switzerland, for example.",European geologists were the first to put together the geologic time scale,many of the names of the time periods are from places in Europe .
80,"A living thing takes in carbon-14 (along with stable carbon-12). As the carbon-14 decays, it is replaced with more carbon-14. After the organism dies, it stops taking in carbon.","the carbon-14 decays , it is replaced with more carbon-14 .",A living thing takes in carbon-14 -LRB- along with stable carbon-12 -RRB- .
0,The carbon-14 that is in its body continues to decay. So the organism contains less and less carbon-14 as time goes on. We can estimate the amount of carbon-14 that has decayed by measuring the amount of carbon-14 to carbon-12.,The carbon-14 that is in its body continues to decay,the organism contains less and less carbon-14 as time goes on .
68,So the organism contains less and less carbon-14 as time goes on. We can estimate the amount of carbon-14 that has decayed by measuring the amount of carbon-14 to carbon-12. We know how fast carbon-14 decays.,measuring the amount of carbon-14 to carbon-12,We can estimate the amount of carbon-14 that has decayed
44,"So carbon- 14 dating is useful for specimens younger than 50,000 years old. Thats a blink of an eye in geologic time.","specimens younger than 50,000 years old",14 dating is useful
75,"These isotopes have much longer half-lives than carbon- 14. Because they decay more slowly, they can be used to date much older specimens. Which of these isotopes could be used to date a rock that formed half a million years ago?",they decay more slowly,they can be used to date much older specimens .
75,"The lighter elements rose to the surface (Figure 12.4). Because the material separated, Earths core is made mostly of iron. Earths crust is made mostly of lighter materials.",the material separated,Earths core is made mostly of iron .
82,Temperatures and pressures at the center of the cloud were extreme. It was so hot that nuclear fusion reactions began. In these reactions hydrogen fuses to make helium.,It was so hot,nuclear fusion reactions began .
80,"The cloud contracted and began to spin. As it contracted, its temperature and pressure increased. The cloud spun faster, and formed into a disk.","it contracted , its temperature and pressure increased .",The cloud contracted and began to spin .
82,The early Earth had no atmosphere. Conditions were so hot that gases were not stable. ,Conditions were so hot,gases were not stable .
15,"Earths atmosphere slowly cooled. Once it was cooler, water vapor could condense. It changed back to its liquid form.",it was cooler,water vapor could condense .
80,Over millions of years water collected to form the oceans. Water began to cycle on Earth as water evaporated from the oceans and returned again as rainfall. ,water evaporated from the oceans and returned again as rainfall .,Water began to cycle on Earth
78," Since the early Earth was very hot, mantle convection was very rapid. Plate tectonics likely moved very quickly.",the early Earth was very hot,mantle convection was very rapid .
81,"Prokaryotes and eukaryotes can be multicellular. Toward the end of the Precambrian, the Ediacara Fauna evolved (Figure 12.8). These are the fossils discovered by Walcott in the introduction to the next section.",Toward the end of the Precambrian,the Ediacara Fauna evolved -LRB- Figure 12.8 -RRB- .
0,Some supply energy; some break down wastes. Eukaryotes were better able to live and so became the dominant life form. ,Eukaryotes were better able to live,became the dominant life form .
0,"Thats why the chemical formula for water is H2 O. If water is so simple, why is it special? Water is one of the few substances that exists on Earth in all three states of matter.",If water is,"simple , why is it"
76,Each water molecule has probably been around for billions of years. Thats because Earths water is constantly recycled. ,Earths water is constantly recycled .,water molecule has probably been around for billions of years . Thats
15,"Figure 13.1 shows why. If astronauts see Earth from space, this is how it looks. Notice how blue the planet appears.",astronauts see Earth from space,this is how it looks .
76,Notice how blue the planet appears. Thats because oceans cover much of Earths surface. Water is also found in the clouds that rise above the planet.,oceans cover much of Earths surface .,the planet appears . Thats
80,"Most of Earths water is salt water in the oceans. As Figure 13.2 shows, only 3 percent of Earths water is fresh. Freshwater is water that contains little or no dissolved salt.","Figure 13.2 shows , only 3 percent of Earths water is fresh .",Most of Earths water is salt water in the oceans .
80," Water keeps changing state as it goes through the water cycle. This means that it can be a solid, liquid, or gas.",it goes through the water cycle .,Water keeps changing state
80,"How does it keep moving through the cycle? As Figure 13.3 shows, several processes are involved. Evaporation changes liquid water to water vapor.","Figure 13.3 shows , several processes are involved .",it keep moving through the cycle ?
0,Energy from the Sun causes water to evaporate. Most evaporation is from the oceans because they cover so much area. The water vapor rises into the atmosphere.,Most evaporation is from the oceans because they cover,much area . The water vapor rises into the atmosphere
76,"The water vapor rises into the atmosphere. Transpiration is like evaporation because it changes liquid water to water vapor. In transpiration, plants release water vapor through their leaves.",it changes liquid water to water vapor .,Transpiration is like evaporation
80,"Condensation changes water vapor to liquid water. As air rises higher into the atmosphere, it cools. Cool air can hold less water vapor than warm air.","air rises higher into the atmosphere , it cools .",Condensation changes water vapor to liquid water .
0,Cool air can hold less water vapor than warm air. So some of the water vapor condenses into water droplets. Water droplets may form clouds.,Cool air can hold less water vapor than warm air,some of the water vapor condenses into water droplets .
14,"Water droplets in clouds fall to Earth when they become too large to stay aloft. The water falls as rain if the air is warm. If the air is cold, the water may freeze and fall as snow, sleet, or hail.",the air is warm .,The water falls as rain
15,"The water falls as rain if the air is warm. If the air is cold, the water may freeze and fall as snow, sleet, or hail. Most precipitation falls into the oceans.",the air is cold,"the water may freeze and fall as snow , sleet , or hail ."
80,"A stream ends at its mouth. As the water flows into the body of water, it slows down and drops the sediment it was carrying. The sediment may build up to form a delta.","the water flows into the body of water , it slows down and drops the sediment it was carrying .",A stream ends at its mouth .
0,"The same principle explains why water collects in ponds and lakes. Water travels downhill, so a depression in the ground fills with standing water. A pond is a small body of standing water.",Water travels downhill,a depression in the ground fills with standing water .
82,"The Great Salt Lake in Utah is an example of a saltwater lake. The water in a large lake may be so deep that sunlight cannot penetrate all the way to the bottom. Without sunlight, water plants and algae cannot live on the bottom of the lake.",The water in a large lake may be so deep,sunlight can not penetrate all the way to the bottom .
76,"Without sunlight, water plants and algae cannot live on the bottom of the lake. Thats because plants need sunlight for photosynthesis. The largest lakes in the world are the Great Lakes.",plants need sunlight for photosynthesis .,"sunlight , water plants and algae can not live on the bottom of the lake . Thats"
80," Not all wetlands are alike, as you can see from Figure 13.9. Wetlands vary in how wet they are and how much of the year they are soaked.",you can see from Figure 13.9 .,Not all wetlands are alike
0,Laws have been passed to help protect them. Why are wetlands so important? Wetlands have great biodiversity.,Why are wetlands,important ? Wetlands have great biodiversity
0,"They provide homes or breeding sites to a huge variety of species. Because so much wetland area has been lost, many of these species are endangered. Wetlands purify water.",provide homes or breeding sites to a huge variety of species . Because,"much wetland area has been lost , many of these species are endangered ."
82, A flood occurs when so much water enters a stream or river that it overflows its banks. Flood waters from a river are shown in Figure 13.10.,A flood occurs when so much,it overflows its banks .
0,Most groundwater does not flow out of an aquifer as a spring or geyser. So to use the water thats stored in an aquifer people must go after it. How?,Most groundwater does not flow out of an aquifer as a spring or geyser,to use the water thats stored in an aquifer people must go after it .
76,"People have depended on water from wells for thousands of years. To bring water to the surface takes energy because the force of gravity must be overcome. Today, many wells use electricity to pump water to the surface.",the force of gravity must be overcome .,To bring water to the surface takes energy
95,Then more water collects and the pressure builds up again. This leads to another eruption. Old Faithful is the best-known geyser in the world.,more water collects and the pressure builds up again,another eruption
80,Some springs have water that contains minerals. Groundwater dissolves minerals out of the rock as it seeps through the pores. The water in some springs is hot because it is heated by hot magma.,it seeps through the pores .,Groundwater dissolves minerals out of the rock
76,Groundwater dissolves minerals out of the rock as it seeps through the pores. The water in some springs is hot because it is heated by hot magma. Many hot springs are also mineral springs.,it is heated by hot magma .,The water in some springs is hot
76,"Many hot springs are also mineral springs. Thats because hot water can dissolve more minerals than cold water. Grand Prismatic Spring, shown in Figure 13.16, is a hot mineral spring.",hot water can dissolve more minerals than cold water .,hot springs are also mineral springs . Thats
15,"Thats what happens to the water that flows out of Big Spring in Missouri. If the water from a spring cant flow downhill, it may spread out to form a pond or lake instead. Lake George in New York State, which is pictured in Figure 13.15, is a spring-fed lake.",the water from a spring cant flow downhill,it may spread out to form a pond or lake instead .
80,"One of the biggest aquifers in the world is the Ogallala aquifer. As you can see from Figure 13.13, this aquifer lies beneath parts of eight U.S. states. It covers a total area of 451,000 square kilometers (174,000 square miles).","you can see from Figure 13.13 , this aquifer lies beneath parts of eight U.S. states .",One of the biggest aquifers in the world is the Ogallala aquifer .
15,"The water table may lower and the aquifer may even run dry. If this happens, the ground above the aquifer may sink. This is likely to damage any homes or other structures built above the aquifer.",this happens,the ground above the aquifer may sink .
76," Water infiltrates the ground because soil and rock are porous. Between the grains are pores, or tiny holes.",soil and rock are porous .,Water infiltrates the ground
79,"Between the grains are pores, or tiny holes. Since water can move through this rock it is permeable. Eventually, the water reaches a layer of rock that is not porous and so is impermeable.",water can move through this rock it is permeable .,"Between the grains are pores , or tiny holes ."
0,"Since water can move through this rock it is permeable. Eventually, the water reaches a layer of rock that is not porous and so is impermeable. Water stops moving downward when it reaches this layer of rock.","Eventually , the water reaches a layer of rock that is not porous",is impermeable .
76,The water in this layer has nowhere else to go. It cannot seep any deeper into the ground because the rock below it is impermeable. ,the rock below it is impermeable .,It can not seep any deeper into the ground
71,"Earths crust consists of many tectonic plates that move over time. Due to plate tectonics, the continents changed their shapes and positions during Earth history. As the continents changed, so did the oceans.",plate tectonics,the continents changed their shapes and positions during Earth history .
0,"Due to plate tectonics, the continents changed their shapes and positions during Earth history. As the continents changed, so did the oceans. About 250 million years ago, there was one huge land mass known as Pangaea.",As the continents changed,did the oceans .
80,"More water vapor came from asteroids and comets that crashed into Earth. As Earth cooled still more, the water vapor condensed to make Earths first liquid water. At last, the oceans could start to form.","Earth cooled still more , the water vapor condensed to make Earths first liquid water .",More water vapor came from asteroids and comets that crashed into Earth .
48," There are three main ocean zones based on distance from shore. They are the intertidal zone, neritic zone, and oceanic zone.",distance from shore,There are three main ocean zones
1,"Most nutrients are washed into ocean water from land. Therefore, water closer to shore tends to have more nutrients. Living things need nutrients.",Most nutrients are washed into ocean water from land,water closer to shore tends to have more nutrients .
0,Living things need nutrients. So distance from shore also influences how many organisms live in the water. ,Living things need nutrients,distance from shore also influences how many organisms live in the water .
76,"The deeper you go, the darker the water gets. Thats because sunlight cannot penetrate very far under water. Sunlight is needed for photosynthesis.",sunlight can not penetrate very far under water .,"deeper you go , the darker the water gets . Thats"
0,Sunlight is needed for photosynthesis. So the depth of water determines whether photosynthesis is possible. There is enough sunlight for photosynthesis only in the photic zone.,Sunlight is needed for photosynthesis,the depth of water determines whether photosynthesis is possible .
80,There is enough sunlight for photosynthesis only in the photic zone. Water also gets colder as you go deeper. The weight of the water pressing down from above increases as well.,you go deeper .,Water also gets colder
82,"At great depths, life becomes very difficult. The pressure is so great that only specially adapted creatures can live there. ",The pressure is so great,only specially adapted creatures can live there .
15,"Have you ever gone swimming in the ocean? If you have, then you probably tasted the salts in the water. By mass, salts make up about 3.5 percent of ocean water.",you have,then you probably tasted the salts in the water .
76,"For example, near the mouth of a river, ocean water may be less salty. Thats because river water contains less salt than ocean water. Where the ocean is warm, the water may be more salty.",river water contains less salt than ocean water .,"example , near the mouth of a river , ocean water may be less salty . Thats"
48,These conditions depend mainly on two factors: distance from shore and depth of water. Oceans are divided into zones based on these two factors. The ocean floor makes up another zone.,these two factors,Oceans are divided into zones
76, Ocean water is salty because water dissolves minerals out of rocks. This happens whenever water flows over or through rocks.,water dissolves minerals out of rocks .,Ocean water is salty
5,"When the water evaporates, it leaves the salts behind. As a result, ocean water is much saltier than other water on Earth. ","When the water evaporates , it leaves the salts behind",ocean water is much saltier than other water on Earth .
76,They are warmer in the winter and cooler in the summer. Thats because land near an ocean is influenced by the temperature of the oceans. The temperature of ocean water is moderate and stable.,land near an ocean is influenced by the temperature of the oceans .,are warmer in the winter and cooler in the summer . Thats
5,"Water is much slower to warm up and cool down than land. As a result, oceans never get as hot or as cold as land. 2.",Water is much slower to warm up and cool down than land,oceans never get as hot or as cold as land .
29,"The mixing of warm and cold water makes the water temperature moderate. Even inland temperatures are milder because of oceans. Without oceans, there would be much bigger temperature swings all over Earth.",Even inland temperatures are milder,". Without oceans , there would be much bigger temperature swings all over Earth"
80,"Sunlight heats water near the sea surface, as shown in Figure 14.3. As the water warms, some of it evaporates. The water vapor rises into the air, where it may form clouds and precipitation.","the water warms , some of it evaporates .","Sunlight heats water near the sea surface , as shown in Figure 14.3 ."
67,"Carbon dioxide is a major cause of global warming. By absorbing carbon dioxide, the oceans help control global warming. ",absorbing carbon dioxide,", the oceans help control global warming ."
0,"The salt is left behind in the seawater. This cold, salty water is very dense, so it sinks to the bottom of the North Atlantic. Downwelling can take place in other places where surface water becomes very dense (see Figure 14.17).","This cold , salty water is very dense",it sinks to the bottom of the North Atlantic .
0,"When water comes up from the deep, it brings a lot of nutrients with it. Why is deep water so full of nutrients? Over time, dead organisms and other organic matter settle to the bottom water and collect.",Why is deep water,"full of nutrients ? Over time , dead organisms and other organic matter settle to the bottom water and collect"
67,"Over time, dead organisms and other organic matter settle to the bottom water and collect. The nutrient-rich water that comes to the surface by upwelling supports many living things. ",upwelling,supports many living things .
29,Winds and surface currents tend to move from the hot equator north or south toward the much cooler poles. Thats because of differences in the temperature of air masses over Earths surface. But Earth is spinning on its axis underneath the wind and water as they move.,and surface currents tend to move from the hot equator north or south toward the much cooler poles . Thats,surface .
80,Thats because of differences in the temperature of air masses over Earths surface. But Earth is spinning on its axis underneath the wind and water as they move. The Earth rotates from west to east.,they move .,But Earth is spinning on its axis underneath the wind and water
5,"The Earth rotates from west to east. As a result, winds and currents actually end up moving toward the northeast or southeast. This effect of Earths rotation on the direction of winds and currents is called the Coriolis effect.",The Earth rotates from west to east,winds and currents actually end up moving toward the northeast or southeast .
5,"Although the gravity pulls the land, only the water can move. As a result: Water on the side of Earth facing the Moon is pulled hardest by the Moons gravity. This causes a bulge of water on that side of Earth.","Although the gravity pulls the land , only the water can move",: Water on the side of Earth facing the Moon is pulled hardest by the Moons gravity .
135,"Earth itself is pulled harder by the Moons gravity than is the ocean on the side of Earth opposite the Moon. As a result, there is bulge of water on the opposite side of Earth. This creates another high tide.",itself is pulled harder by the Moons gravity than is the ocean on the side of Earth opposite the Moon . As,bulge of water on the opposite side of Earth
0,"In most places the water level rises and falls twice a day. So there are two high tides and two low tides approximately every 24 hours. In Figure 14.12, you can see the difference between high and low tides.",In most places the water level rises and falls twice a day,there are two high tides and two low tides approximately every 24 hours .
76,"The Suns gravity also pulls on Earth and its oceans. Even though the Sun is much larger than the Moon, the pull of the Suns gravity is much less because the Sun is much farther away. The Suns gravity strengthens or weakens the Moons influence on tides.",the Sun is much farther away .,"Even though the Sun is much larger than the Moon , the pull of the Suns gravity is much less"
0,The Moon and Sun are at right angles to each other. Their gravity pulls on the oceans in different directions so the highs and lows are not as great. Neap tides have the smallest tidal range.,Their gravity pulls on the oceans in different directions,the highs and lows are not as great .
80,"A tsunami is a wave or set of waves that is usually caused by an earthquake. As we have seen in recent years, the waves can be enormous and extremely destructive. Usually tsunami waves travel through the ocean unnoticed.","we have seen in recent years , the waves can be enormous and extremely destructive .",A tsunami is a wave or set of waves that is usually caused by an earthquake .
80,"Figure 14.10 shows what happens to waves near shore. As waves move into shallow water, they start to touch the bottom. The base of the waves drag and slow.","waves move into shallow water , they start to touch the bottom .",Figure 14.10 shows what happens to waves near shore .
44,"People can stay underwater for up to 9 hours. Alvin has been essential for developing a scientific understanding the worlds oceans. Today, remote-control vehicles, called remotely operated vehicles (ROVs) go to the deepest ocean floor.",developing a scientific understanding the worlds oceans,Alvin has been essential
76,"Did you ever shout and hear an echo? If you did, thats because the sound waves bounced off a hard surface and back to you. The same principle explains how sonar works.",the sound waves bounced off a hard surface and back to you .,"did , thats"
15,"Sound waves travel through water at a known speed. Once scientists know the travel time of the wave, they can calculate the distance to the ocean floor. They can then combine all of these distances to make a map of the ocean floor.",scientists know the travel time of the wave,they can calculate the distance to the ocean floor .
80,"They contain manganese, iron, copper, and other useful minerals. As many as 500 billion tons of nodules lie on the ocean floor! However, mining them would be very costly and could be harmful to the ocean environment.",many as 500 billion tons of nodules lie,"They contain manganese , iron , copper , and other useful minerals ."
79,The bacteria that make food from chemicals are also primary producers. These organisms do not do photosynthesis since there is no light at the vents. They do something called chemosynthesis.,there is no light at the vents .,These organisms do not do photosynthesis
0,"Air near the ground is warmed by heat radiating from Earths surface. The warm air is less dense, so it rises. As it rises, it cools.",The warm air is less dense,it rises .
80,"The warm air is less dense, so it rises. As it rises, it cools. The cool air is dense, so it sinks to the surface.","it rises , it cools .",it rises .
0,"As it rises, it cools. The cool air is dense, so it sinks to the surface. This creates a convection current, like the one in Figure 15.9.",The cool air is dense,it sinks to the surface .
80,The answer can be summed up in one word: energy. Energy is defined as the ability to do work. Doing anything takes energy.,the ability to do work .,Energy is defined
82,"The molecules absorb the Suns energy and are heated up. But there are so very few gas molecules, that the air still feels very cold. Molecules in the thermosphere gain or lose electrons.",But there are so very,the air still feels very cold .
82,"Gas molecules are very far apart in this layer, but they are really hot. Earths gravity is so weak in the exosphere that gas molecules sometimes just float off into space. ",Earths gravity is so weak,gas molecules sometimes just float off into space .
80,"Did you ever see a meteor shower, like the one in Figure 15.15? Meteors burn as they fall through the mesosphere. The space rocks experience friction with the gas molecules.",they fall through the mesosphere .,Meteors burn
1,"The stratosphere gets most of its heat from the Sun. Therefore, its warmer closer to the Sun. The air at the bottom of the stratosphere is cold.",The stratosphere gets most of its heat from the Sun,its warmer closer to the Sun .
0,"The air at the bottom of the stratosphere is cold. The cold air is dense, so it doesnt rise. As a result, there is little mixing of air in this layer.",The cold air is dense,it doesnt rise .
5,"The cold air is dense, so it doesnt rise. As a result, there is little mixing of air in this layer. ","cold air is dense , so it doesnt rise",there is little mixing of air in this layer .
80,"The ozone layer absorbs high-energy UV radiation. As you can see in Figure 15.14, UV radiation splits the ozone molecule. The split creates an oxygen molecule (O2 ) and an oxygen atom (O).","you can see in Figure 15.14 , UV radiation splits the ozone molecule .",The ozone layer absorbs high-energy UV radiation .
67,"This split releases heat that warms the stratosphere. By absorbing UV radiation, ozone also protects Earths surface. UV radiation would harm living things without the ozone layer.",absorbing UV radiation,", ozone also protects Earths surface ."
0,"Air in the troposphere is warmer closer to Earths surface. Warm air is less dense than cool air, so it rises higher in the troposphere. This starts a convection cell.",Warm air is less dense than cool air,it rises higher in the troposphere .
0,"It rises to only about 12 kilometers (7 miles) above the surface. Even so, this layer holds 75 percent of all the gas molecules in the atmosphere. Thats because the air is densest in this layer.",rises to only about 12 kilometers -LRB- 7 miles -RRB- above the surface . Even,this layer holds 75 percent of all the gas molecules in the atmosphere .
76,"Even so, this layer holds 75 percent of all the gas molecules in the atmosphere. Thats because the air is densest in this layer. ",the air is densest in this layer .,"so , this layer holds 75 percent of all the gas molecules in the atmosphere . Thats"
0,"This happens when air is cooler close to the ground than it is above. The cool air is dense, so it stays near the ground. This is called a temperature inversion.",The cool air is dense,it stays near the ground .
80,You can see this in Figure 15.12. Refer to this figure as you read about the layers below. ,you read about the layers below .,You can see this in Figure 15.12 . Refer to this figure
0,"The summers are very cool, and the winters are frigid. Precipitation is very low because its so cold. You can see examples of polar climates in Figure 17.14.",Precipitation is very low because its,cold .
76,They are also called highland climates. These regions are very cold because they are so far above sea level. The alpine tundra climate is very similar to the polar tundra climate.,they are so far above sea level .,These regions are very cold
76,What little snow falls usually stays on the ground. It doesnt melt because its too cold. ,its too cold .,It doesnt melt
76,Steppes occur at higher latitudes than deserts. They are dry because they are in continental interiors or rain shadows. ,they are in continental interiors or rain shadows .,They are dry
115, Major climate types are based on temperature and precipitation. These two factors determine what types of plants can grow in an area.,temperature and precipitation,Major climate types
0,Animals and other living things depend on plants. So each climate is associated with certain types of living things. A major type of climate and its living things make up a biome.,Animals and other living things depend on plants,each climate is associated with certain types of living things .
80,"A major type of climate and its living things make up a biome. As you read about the major climate types below, find them on the map in Figure 17.9. ","you read about the major climate types below , find them on the map in Figure 17.9 .",A major type of climate and its living things make up a biome .
80,"Tropical climates are found around the equator. As youd expect, these climates have warm temperatures year round. Tropical climates may be very wet or wet and dry.","youd expect , these climates have warm temperatures year round .",Tropical climates are found around the equator .
0,"The rest of the year is dry. Few trees can withstand the long dry season, so the main plants are grasses (see Figure 17.10). ",Few trees can withstand the long dry season,the main plants are grasses -LRB- see Figure 17.10
72,"This gives the south side a warmer microclimate. A microclimate can be due to a place being deeper. Since cold air sinks, a depression in the land can be a lot colder than the land around it.",a place being deeper,A microclimate can be
79,"A microclimate can be due to a place being deeper. Since cold air sinks, a depression in the land can be a lot colder than the land around it. ","cold air sinks , a depression in the land can be a lot colder than the land around it .",A microclimate can be due to a place being deeper .
14,"As temperature rises, more sea ice will melt. Figure 17.23 shows how much less sea ice there may be in 2050 if temperatures keep going up. This would cause sea level to rise even higher.",temperatures keep going up .,Figure 17.23 shows how much less sea ice there may be in 2050
79,"But each time, the anomaly (the difference from average temperature) was less than 1 C (1.8 F). Since the mid 1800s, Earth has warmed up quickly. Look at Figure 17.19.","the mid 1800s , Earth has warmed up quickly .",", the anomaly -LRB- the difference from average temperature -RRB- was less than 1 C -LRB- 1.8 F -RRB- ."
79,Look at Figure 17.19. The 14 hottest years on record have all occurred since 1900. Eight of them have occurred since 1998!,1900 . Eight of them have occurred since 1998,on record have all occurred
79,The 14 hottest years on record have all occurred since 1900. Eight of them have occurred since 1998! This is what is usually meant by global warming.,1998 ! This is what is usually meant by global warming,Eight of them have occurred
86,Its one of several that human activities add to the atmosphere. An increase in greenhouse gases leads to greater greenhouse effect. The result is increased global warming.,An increase in greenhouse gases,greater greenhouse effect
