,context,question,answer,start_idx,end_idx
1151,"This does not mean that samurai women were always powerless. Powerful women both wisely and unwisely wielded power at various occasions. After Ashikaga Yoshimasa, 8th shogun of the Muromachi shogunate, lost interest in politics, his wife Hino Tomiko largely ruled in his place. Nene, wife of Toyotomi Hideyoshi, was known to overrule her husband's decisions at times and Yodo-dono, his concubine, became the de facto master of Osaka castle and the Toyotomi clan after Hideyoshi's death. Tachibana Ginchiyo was chosen to lead the Tachibana clan after her father's death. Chiyo, wife of Yamauchi Kazutoyo, has long been considered the ideal samurai wife. According to legend, she made her kimono out of a quilted patchwork of bits of old cloth and saved pennies to buy her husband a magnificent horse, on which he rode to many victories. The fact that Chiyo (though she is better known as ""Wife of Yamauchi Kazutoyo"") is held in such high esteem for her economic sense is illuminating in the light of the fact that she never produced an heir and the Yamauchi clan was succeeded by Kazutoyo's younger brother. The source of power for women may have been that samurai left their finances to their wives.",Why did Ashikaga let his wife take over?,lost interest in politics,202,227
1387,"Until the 20th century, there was no clear record of the number of Venezuelans who emigrated to the United States. Between the 18th and early 19th centuries, there were many European immigrants who went to Venezuela, only to later migrate to the United States along with their children and grandchildren who born and/or grew up in Venezuela speaking Spanish. From 1910 to 1930, it is estimated that over 4,000 South Americans each year emigrated to the United States; however, there are few specific figures indicating these statistics. Many Venezuelans settled in the United States with hopes of receiving a better education, only to remain in there following graduation. They are frequently joined by relatives. However, since the early 1980s, the reasons for Venezuelan emigration have changed to include hopes of earning a higher salary and due to the economic fluctuations in Venezuela which also promoted an important migration of Venezuelan professionals to the US.",Why did Venezuelans come to America?,"Many Venezuelans settled in the United States with hopes of receiving a better education, only to remain in there following graduation.",537,672
1357,"The elevator motor was located at the top of the shaft or beside the bottom of the shaft. Pushing the handle forward would cause the cab to rise; backwards would make it sink. The harder the pressure, the faster the elevator would move. The handle also served as a dead man switch: if the operator let go of the handle, it would return to its upright position, causing the elevator cab to stop. In time, safety interlocks would ensure that the inner and outer doors were closed before the elevator was allowed to move.","Why was the handle considered a ""dead man switch""?","if the operator let go of the handle, it would return to its upright position, causing the elevator cab to stop",282,393
250,"With the redevelopment of Las Vegas and the opening of two casinos in Connecticut in the early 1990s, along with newly built casinos in the nearby Philadelphia metro area in the 2000s, Atlantic City's tourism began to decline due to its failure to diversify away from gaming. Determined to expand, in 1999 the Atlantic City Redevelopment Authority partnered with Las Vegas casino mogul Steve Wynn to develop a new roadway to a barren section of the city near the Marina. Nicknamed ""The Tunnel Project"", Steve Wynn planned the proposed 'Mirage Atlantic City' around the idea that he would connect the $330 million tunnel stretching 2.5 miles (4.0 km) from the Atlantic City Expressway to his new resort. The roadway was later officially named the Atlantic City-Brigantine Connector, and funnels incoming traffic off of the expressway into the city's marina district and Brigantine, New Jersey.",Why did the Atlantic City Redevelopment Authority partner with Steve Wynn?,to develop a new roadway,397,421
1679,"High-power LEDs (HP-LEDs) or high-output LEDs (HO-LEDs) can be driven at currents from hundreds of mA to more than an ampere, compared with the tens of mA for other LEDs. Some can emit over a thousand lumens. LED power densities up to 300 W/cm2 have been achieved. Since overheating is destructive, the HP-LEDs must be mounted on a heat sink to allow for heat dissipation. If the heat from a HP-LED is not removed, the device will fail in seconds. One HP-LED can often replace an incandescent bulb in a flashlight, or be set in an array to form a powerful LED lamp.",Why must High-power LEDs be mounted on a heat sink?,to allow for heat dissipation,342,371
1518,"Transduction of bacterial genes by bacteriophage appears to be a consequence of infrequent errors during intracellular assembly of virus particles, rather than a bacterial adaptation. Conjugation, in the much-studied E. coli system is determined by plasmid genes, and is an adaptation for transferring copies of the plasmid from one bacterial host to another. It is seldom that a conjugative plasmid integrates into the host bacterial chromosome, and subsequently transfers part of the host bacterial DNA to another bacterium. Plasmid-mediated transfer of host bacterial DNA also appears to be an accidental process rather than a bacterial adaptation.",What is the result of bacterial adaptation of E.coli bacteria host and plasmid of another bacteria?,Conjugation,184,195
1187,"In surveys made in Europe and the United States, green is the color most commonly associated with nature, life, health, youth, spring, hope and envy. In Europe and the U.S. green is sometimes associated with death (green has several seemingly contrary associations), sickness, or the devil, but in China its associations are very positive, as the symbol of fertility and happiness. In the Middle Ages and Renaissance, when the color of clothing showed the owner's social status, green was worn by merchants, bankers and the gentry, while red was the color of the nobility. The Mona Lisa by Leonardo da Vinci wears green, showing she is not from a noble family; the benches in the British House of Commons are green, while those in the House of Lords are red. Green is also the traditional color of safety and permission; a green light means go ahead, a green card permits permanent residence in the United States. It is the most important color in Islam. It was the color of the banner of Muhammad, and is found in the flags of nearly all Islamic countries, and represents the lush vegetation of Paradise. It is also often associated with the culture of Gaelic Ireland, and is a color of the flag of Ireland. Because of its association with nature, it is the color of the environmental movement. Political groups advocating environmental protection and social justice describe themselves as part of the Green movement, some naming themselves Green parties. This has led to similar campaigns in advertising, as companies have sold green, or environmentally friendly, products.",Why is green the color of the environmental movement?,its association with nature,1220,1247
1588,"The immediate nationwide uprisings against the new government began by the 1979 Kurdish rebellion with the Khuzestan uprisings, along with the uprisings in Sistan and Baluchestan Province and other areas. Over the next several years, these uprisings were subdued in a violent manner by the new Islamic government. The new government went about purging itself of the non-Islamist political opposition. Although both nationalists and Marxists had initially joined with Islamists to overthrow the Shah, tens of thousands were executed by the Islamic government afterward.",What happened to the nationalists and Marxists that had helped the Islamic ruling government to depose the Shah?,were executed,518,531
381,"Burrel's innovative design, which combined the low production cost of an Apple II with the computing power of Lisa's CPU, the Motorola 68K, received the attention of Steve Jobs, co-founder of Apple. Realizing that the Macintosh was more marketable than the Lisa, he began to focus his attention on the project. Raskin left the team in 1981 over a personality conflict with Jobs. Team member Andy Hertzfeld said that the final Macintosh design is closer to Jobs' ideas than Raskin's. After hearing of the pioneering GUI technology being developed at Xerox PARC, Jobs had negotiated a visit to see the Xerox Alto computer and its Smalltalk development tools in exchange for Apple stock options. The Lisa and Macintosh user interfaces were influenced by technology seen at Xerox PARC and were combined with the Macintosh group's own ideas. Jobs also commissioned industrial designer Hartmut Esslinger to work on the Macintosh line, resulting in the ""Snow White"" design language; although it came too late for the earliest Macs, it was implemented in most other mid- to late-1980s Apple computers. However, Jobs' leadership at the Macintosh project did not last; after an internal power struggle with new CEO John Sculley, Jobs resigned from Apple in 1985. He went on to found NeXT, another computer company targeting the education market, and did not return until 1997, when Apple acquired NeXT.",What caused Steve Jobs to resign from Apple in 1985?,an internal power struggle,1165,1191
411,"Innate bisexuality is an idea introduced by Sigmund Freud. According to this theory, all humans are born bisexual in a very broad sense of the term, that of incorporating general aspects of both sexes. In Freud's view, this was true anatomically and therefore also psychologically, with sexual attraction to both sexes being one part of this psychological bisexuality. Freud believed that in the course of sexual development the masculine side would normally become dominant in men and the feminine side in women, but that as adults everyone still has desires derived from both the masculine and the feminine sides of their natures. Freud did not claim that everyone is bisexual in the sense of feeling the same level of sexual attraction to both genders.",Why did SIgmund believe all humans are born bisexual?,"this was true anatomically and therefore also psychologically, with sexual attraction to both sexes being one part of this psychological bisexuality",219,367
438,"Seattle is home to the University of Washington, as well as the institution's professional and continuing education unit, the University of Washington Educational Outreach. A study by Newsweek International in 2006 cited the University of Washington as the twenty-second best university in the world. Seattle also has a number of smaller private universities including Seattle University and Seattle Pacific University, the former a Jesuit Catholic institution, the latter Free Methodist; universities aimed at the working adult, like City University and Antioch University; colleges within the Seattle Colleges District system, comprising North, Central, and South; seminaries, including Western Seminary and a number of arts colleges, such as Cornish College of the Arts, Pratt Fine Arts Center, and The Art Institute of Seattle. In 2001, Time magazine selected Seattle Central Community College as community college of the year, stating the school ""pushes diverse students to work together in small teams"".",What is the purpose of the University of Washington Outreach?,continuing education,95,115
1531,"The Football Association Premier League Ltd (FAPL) is operated as a corporation and is owned by the 20 member clubs. Each club is a shareholder, with one vote each on issues such as rule changes and contracts. The clubs elect a chairman, chief executive, and board of directors to oversee the daily operations of the league. The current chairman is Sir Dave Richards, who was appointed in April 1999, and the chief executive is Richard Scudamore, appointed in November 1999. The former chairman and chief executive, John Quinton and Peter Leaver, were forced to resign in March 1999 after awarding consultancy contracts to former Sky executives Sam Chisholm and David Chance. The Football Association is not directly involved in the day-to-day operations of the Premier League, but has veto power as a special shareholder during the election of the chairman and chief executive and when new rules are adopted by the league.",Why did John Quinton and Peter Leaver resign as chairman and chief excutive?,"John Quinton and Peter Leaver, were forced to resign in March 1999 after awarding consultancy contracts to former Sky executives Sam Chisholm and David Chance.",516,675
1616,"It should be emphasized, however, that for Whitehead God is not necessarily tied to religion. Rather than springing primarily from religious faith, Whitehead saw God as necessary for his metaphysical system. His system required that an order exist among possibilities, an order that allowed for novelty in the world and provided an aim to all entities. Whitehead posited that these ordered potentials exist in what he called the primordial nature of God. However, Whitehead was also interested in religious experience. This led him to reflect more intensively on what he saw as the second nature of God, the consequent nature. Whitehead's conception of God as a ""dipolar"" entity has called for fresh theological thinking.",Why did Whitehead view the existence of God as a necessity for his metaphysical system?,"His system required that an order exist among possibilities, an order that allowed for novelty in the world and provided an aim to all entities.",208,352
1263,"Before World War II, Guam and three other territories – American Samoa, Hawaii, and the Philippines – were the only American jurisdictions in the Pacific Ocean. On December 7, 1941, hours after the attack on Pearl Harbor, Guam was captured by the Japanese, and was occupied for thirty months. During the occupation, Guamanians were subjected to culture alignment, forced labor, beheadings, rape, and torture. Guam endured hostilities when American forces recaptured the island on July 21, 1944; Liberation Day commemorates the victory. Since the 1960s, the economy is supported by two industries: tourism and the United States Armed Forces.",What happened just after the attack on Peal Harbor?,Guam was captured by the Japanese,222,255
1548,"Fearing the worst, the Romans began a major mobilization, all but pulling out of recently pacified Spain and Gaul. They even established a major garrison in Sicily in case the Seleucids ever got to Italy. This fear was shared by Rome's Greek allies, who had largely ignored Rome in the years after the Second Macedonian War, but now followed Rome again for the first time since that war. A major Roman-Greek force was mobilized under the command of the great hero of the Second Punic War, Scipio Africanus, and set out for Greece, beginning the Roman-Syrian War. After initial fighting that revealed serious Seleucid weaknesses, the Seleucids tried to turn the Roman strength against them at the Battle of Thermopylae (as they believed the 300 Spartans had done centuries earlier). Like the Spartans, the Seleucids lost the battle, and were forced to evacuate Greece. The Romans pursued the Seleucids by crossing the Hellespont, which marked the first time a Roman army had ever entered Asia. The decisive engagement was fought at the Battle of Magnesia, resulting in a complete Roman victory. The Seleucids sued for peace, and Rome forced them to give up their recent Greek conquests. Although they still controlled a great deal of territory, this defeat marked the decline of their empire, as they were to begin facing increasingly aggressive subjects in the east (the Parthians) and the west (the Greeks). Their empire disintegrated into a rump over the course of the next century, when it was eclipsed by Pontus. Following Magnesia, Rome again withdrew from Greece, assuming (or hoping) that the lack of a major Greek power would ensure a stable peace. In fact, it did the opposite.",Why was a garrison implented in Italy by the Romans?,in case the Seleucids ever got to Italy,164,203
1336,"The coup completed, the RCC proceeded with their intentions of consolidating the revolutionary government and modernizing the country. They purged monarchists and members of Idris' Senussi clan from Libya's political world and armed forces; Gaddafi believed this elite were opposed to the will of the Libyan people and had to be expunged. ""People's Courts"" were founded to try various monarchist politicians and journalists, and though many were imprisoned, none were executed. Idris was sentenced to execution in absentia.",What happened to the monarchists and and journalists?,"""People's Courts"" were founded to try various monarchist politicians and journalists, and though many were imprisoned, none were executed.",339,477
1810,"As conceptualized by the Polizeiwissenschaft,according to Foucault the police had an administrative,economic and social duty (""procuring abundance""). It was in charge of demographic concerns and needed to be incorporated within the western political philosophy system of raison d'état and therefore giving the superficial appearance of empowering the population (and unwittingly supervising the population), which, according to mercantilist theory, was to be the main strength of the state. Thus, its functions largely overreached simple law enforcement activities and included public health concerns, urban planning (which was important because of the miasma theory of disease; thus, cemeteries were moved out of town, etc.), and surveillance of prices.",Why did the functions of police grow beyond law enforcement to urban planning?,"because of the miasma theory of disease; thus, cemeteries were moved out of town, etc.",638,724
744,"Louis did not leave a son as heir after his death in 1382. Instead, he named as his heir the young prince Sigismund of Luxemburg, who was 11 years old. The Hungarian nobility did not accept his claim, and the result was an internal war. Sigismund eventually achieved total control of Hungary and established his court in Buda and Visegrád. Both palaces were rebuilt and improved, and were considered the richest of the time in Europe. Inheriting the throne of Bohemia and the Holy Roman Empire, Sigismund continued conducting his politics from Hungary, but he was kept busy fighting the Hussites and the Ottoman Empire, which was becoming a menace to Europe in the beginning of the 15th century.",What was the result of the Hungarian nobility's refusal to accept Sigismund claim as Louis' heir?,internal war,223,235
482,"In 1839, Melbourne resigned after Radicals and Tories (both of whom Victoria detested) voted against a bill to suspend the constitution of Jamaica. The bill removed political power from plantation owners who were resisting measures associated with the abolition of slavery. The Queen commissioned a Tory, Sir Robert Peel, to form a new ministry. At the time, it was customary for the prime minister to appoint members of the Royal Household, who were usually his political allies and their spouses. Many of the Queen's ladies of the bedchamber were wives of Whigs, and Peel expected to replace them with wives of Tories. In what became known as the bedchamber crisis, Victoria, advised by Melbourne, objected to their removal. Peel refused to govern under the restrictions imposed by the Queen, and consequently resigned his commission, allowing Melbourne to return to office.",Why did Peel resign his comission?,Peel refused to govern under the restrictions imposed by the Queen,727,793
567,"A major consideration was the possible Soviet reaction in the event that the US intervened. The Truman administration was fretful that a war in Korea was a diversionary assault that would escalate to a general war in Europe once the United States committed in Korea. At the same time, ""[t]here was no suggestion from anyone that the United Nations or the United States could back away from [the conflict]"". Yugoslavia–a possible Soviet target because of the Tito-Stalin Split—was vital to the defense of Italy and Greece, and the country was first on the list of the National Security Council's post-North Korea invasion list of ""chief danger spots"". Truman believed if aggression went unchecked a chain reaction would be initiated that would marginalize the United Nations and encourage Communist aggression elsewhere. The UN Security Council approved the use of force to help the South Koreans and the US immediately began using what air and naval forces that were in the area to that end. The Administration still refrained from committing on the ground because some advisers believed the North Koreans could be stopped by air and naval power alone.",Why did the US not send in ground troops after the United Nations approved the use of force?,advisers believed the North Koreans could be stopped by air and naval power,1070,1145
182,"Glaciers end in ice caves (the Rhone Glacier), by trailing into a lake or river, or by shedding snowmelt on a meadow. Sometimes a piece of glacier will detach or break resulting in flooding, property damage and loss of life. In the 17th century about 2500 people were killed by an avalanche in a village on the French-Italian border; in the 19th century 120 homes in a village near Zermatt were destroyed by an avalanche.","What causes flooding, property damage, and loss of life?",a piece of glacier will detach or break,128,167
170,"In 1374 King Louis of Hungary approved the Privilege of Koszyce (Polish: ""przywilej koszycki"" or ""ugoda koszycka"") in Košice in order to guarantee the Polish throne for his daughter Jadwiga. He broadened the definition of who was a member of the nobility and exempted the entire class from all but one tax (łanowy, which was limited to 2 grosze from łan (an old measure of land size)). In addition, the King's right to raise taxes was abolished; no new taxes could be raised without the agreement of the nobility. Henceforth, also, district offices (Polish: ""urzędy ziemskie"") were reserved exclusively for local nobility, as the Privilege of Koszyce forbade the king to grant official posts and major Polish castles to foreign knights. Finally, this privilege obliged the King to pay indemnities to nobles injured or taken captive during a war outside Polish borders.",WHat happened to the kings right to raise taxes?,abolished,435,444
292,"The constraints of constructing a flight deck affect the role of a given carrier strongly, as they influence the weight, type, and configuration of the aircraft that may be launched. For example, assisted launch mechanisms are used primarily for heavy aircraft, especially those loaded with air-to-ground weapons. CATOBAR is most commonly used on USN supercarriers as it allows the deployment of heavy jets with full loadouts, especially on ground-attack missions. STOVL is used by other navies because it is cheaper to operate and still provides good deployment capability for fighter aircraft.",Why do the constraints of constructing a flight deck affect the role of a carrier?,"they influence the weight, type, and configuration of the aircraft that may be launched",94,181
480,"On 2 March 1882, Roderick Maclean, a disgruntled poet apparently offended by Victoria's refusal to accept one of his poems, shot at the Queen as her carriage left Windsor railway station. Two schoolboys from Eton College struck him with their umbrellas, until he was hustled away by a policeman. Victoria was outraged when he was found not guilty by reason of insanity, but was so pleased by the many expressions of loyalty after the attack that she said it was ""worth being shot at—to see how much one is loved"".",Why did Maclean shoot at Victoria?,refusal to accept one of his poems,88,122
907,"Primark continued to investigate the allegations for three years, concluding that BBC report was a fake. In 2011, following an investigation by the BBC Trust’s Editorial Standards Committee, the BBC announced, ""Having carefully scrutinised all of the relevant evidence, the committee concluded that, on the balance of probabilities, it was more likely than not that the Bangalore footage was not authentic."" BBC subsequently apologised for faking footage, and returned the television award for investigative reporting.",What happened to the reward the BBC received?,returned the television award,460,489
300,"The aircraft carrier dramatically changed naval combat in World War II, because air power was becoming a significant factor in warfare. The advent of aircraft as focal weapons was driven by the superior range, flexibility and effectiveness of carrier-launched aircraft. They had higher range and precision than naval guns, making them highly effective. The versatility of the carrier was demonstrated in November 1940 when HMS Illustrious launched a long-range strike on the Italian fleet at their base in Taranto, signalling the beginning of the effective and highly mobile aircraft strikes. This operation incapacitated three of the six battleships at a cost of two torpedo bombers. World War II in the Pacific Ocean involved clashes between aircraft carrier fleets. The 1941 Japanese surprise attack on Pearl Harbor was a clear illustration of the power projection capability afforded by a large force of modern carriers. Concentrating six carriers in a single unit turned naval history about, as no other nation had fielded anything comparable. However, the vulnerability of carriers compared to traditional battleships when forced into a gun-range encounter was quickly illustrated by the sinking of HMS Glorious by German battleships during the Norwegian campaign in 1940.",Why were carrier-launched aircraft more effective than naval guns?,They had higher range and precision,270,305
1749,"In Europe, there has been a general move away from religious observance and belief in Christian teachings and a move towards secularism. The Enlightenment is largely responsible for the spread of secularism. Several scholars have argued for a link between the rise of secularism and Protestantism, attributing it to the wide-ranging freedom in the Protestant countries. In North America, South America and Australia Christian religious observance is much higher than in Europe. United States remains particularly religious in comparison to other developed countries. South America, historically Roman Catholic, has experienced a large Evangelical and Pentecostal infusion in the 20th and 21st centuries.",What caused the spread of secularism?,The Enlightenment,137,154
478,"In 1853, Victoria gave birth to her eighth child, Leopold, with the aid of the new anaesthetic, chloroform. Victoria was so impressed by the relief it gave from the pain of childbirth that she used it again in 1857 at the birth of her ninth and final child, Beatrice, despite opposition from members of the clergy, who considered it against biblical teaching, and members of the medical profession, who thought it dangerous. Victoria may have suffered from post-natal depression after many of her pregnancies. Letters from Albert to Victoria intermittently complain of her loss of self-control. For example, about a month after Leopold's birth Albert complained in a letter to Victoria about her ""continuance of hysterics"" over a ""miserable trifle"".",Why did members of the clergy oppose the use of chloroform for childbirth?,considered it against biblical teaching,319,358
1546,"After recovering surprisingly fast from the sack of Rome, the Romans immediately resumed their expansion within Italy. The First Samnite War from 343 BC to 341 BC was relatively short: the Romans beat the Samnites in two battles, but were forced to withdraw before they could pursue the conflict further due to the revolt of several of their Latin allies in the Latin War. Rome beat the Latins in the Battle of Vesuvius and again in the Battle of Trifanum, after which the Latin cities were obliged to submit to Roman rule.",What caused the Romans early withdrawl in The First Samnite War?,revolt of several of their Latin allies,315,354
808,"The war had removed Bermuda's primary trading partners, the American colonies, from the empire, and dealt a harsh blow to Bermuda's merchant shipping trade. This also suffered due to the deforestation of Bermuda, as well as the advent of metal ships and steam propulsion, for which it did not have raw materials. During the course of the following War of 1812, the primary market for Bermuda's salt disappeared as the Americans developed their own sources. Control of the Turks had passed to the Bahamas in 1819.",Why did the need for Bermuda's salt diminish?,Americans developed their own sources,418,455
1799,"But Sebastião de Melo's greatest reforms were economic and financial, with the creation of several companies and guilds to regulate every commercial activity. He demarcated the region for production of Port to ensure the wine's quality, and this was the first attempt to control wine quality and production in Europe. He ruled with a strong hand by imposing strict law upon all classes of Portuguese society from the high nobility to the poorest working class, along with a widespread review of the country's tax system. These reforms gained him enemies in the upper classes, especially among the high nobility, who despised him as a social upstart.",Why did e Melo demarcate the region for production of Port?,to ensure the wine's quality,207,235
1790,"The Bronx has several local newspapers, including The Bronx News, Parkchester News, City News, The Riverdale Press, Riverdale Review, The Bronx Times Reporter, Inner City Press  (which now has more of a focus on national issues) and Co-Op City Times. Four non-profit news outlets, Norwood News, Mount Hope Monitor, Mott Haven Herald and The Hunts Point Express serve the borough's poorer communities. The editor and co-publisher of The Riverdale Press, Bernard Stein, won the Pulitzer Prize for Editorial Writing for his editorials about Bronx and New York City issues in 1998. (Stein graduated from the Bronx High School of Science in 1959.)",Why did Stein win a Pulitzer?,for his editorials about Bronx and New York City issues,513,568
1074,"There are many missionary groups operating in the country, including Lutherans, Baptists, Catholics, Grace Brethren, and Jehovah's Witnesses. While these missionaries are predominantly from the United States, France, Italy, and Spain, many are also from Nigeria, the Democratic Republic of the Congo, and other African countries. Large numbers of missionaries left the country when fighting broke out between rebel and government forces in 2002–3, but many of them have now returned to continue their work.",What caused most of the missionaries to leave the country?,when fighting broke out between rebel and government forces,377,436
1121,"The Alaska Permanent Fund is a constitutionally authorized appropriation of oil revenues, established by voters in 1976 to manage a surplus in state petroleum revenues from oil, largely in anticipation of the recently constructed Trans-Alaska Pipeline System. The fund was originally proposed by Governor Keith Miller on the eve of the 1969 Prudhoe Bay lease sale, out of fear that the legislature would spend the entire proceeds of the sale (which amounted to $900 million) at once. It was later championed by Governor Jay Hammond and Kenai state representative Hugh Malone. It has served as an attractive political prospect ever since, diverting revenues which would normally be deposited into the general fund.",Why did Governor Keith Miller propose the Alaska Permanent Fund before the Prudhoe Bay sale?,fear that the legislature would spend the entire proceeds of the sale (which amounted to $900 million) at once,372,482
