,Unnamed: 0,context,answer,question,start_idx,end_idx,predicted_answer,score
18,18," For most of human history higher material living standards--full stomachs, access to clean water and warmth from fuel--led to better health and longer lives. This pattern of higher incomes-longer lives still holds among poorer countries, where life expectancy increases rapidly as per capita income increases, but in recent decades it has slowed down among middle income countries and plateaued among the richest thirty or so countries in the world.","full stomachs, access to clean water and warmth from fuel","what are some examples of higher material living standards ?
",61,117,"full stomachs , access to clean water and warmth from fuel",1.0
19,19," For most of human history higher material living standards--full stomachs, access to clean water and warmth from fuel--led to better health and longer lives. This pattern of higher incomes-longer lives still holds among poorer countries, where life expectancy increases rapidly as per capita income increases, but in recent decades it has slowed down among middle income countries and plateaued among the richest thirty or so countries in the world.",better health and longer lives,"what did higher material living standards lead to ?
",127,156,better health and longer lives,1.0
20,20,"Secondly, aspirational consumption describes the process of middle income earners aspiring to achieve the standards of living enjoyed by their wealthier counterparts and one method of achieving this aspiration is by taking on debt. The result leads to even greater inequality and potential economic instability. ",The result,"what leads to even greater inequality and potential economic instability ?
",232,241,aspirational consumption describes the process of middle income earners aspiring to achieve the standards of living enjoyed by their wealthier counterparts and one method of achieving this aspiration is by taking on debt,0.0
21,21,"Secondly, aspirational consumption describes the process of middle income earners aspiring to achieve the standards of living enjoyed by their wealthier counterparts and one method of achieving this aspiration is by taking on debt. The result leads to even greater inequality and potential economic instability. ",even greater inequality and potential economic instability,"what is the result of taking on debt ?
",252,309,greater inequality and potential economic instability,0.923076923076923
22,22," From the late 1340s onwards, people in the countryside suffered from frequent natural disasters such as droughts, floods and the resulting famines, and the government 's lack of effective policy led to a loss of popular support. In 1351, the Red Turban Rebellion started and grew into a nationwide uprising.",the government 's lack of effective policy,"what led to a loss of popular support ?
",153,194,the government ' s lack of effective policy,1.0
23,23," From the late 1340s onwards, people in the countryside suffered from frequent natural disasters such as droughts, floods and the resulting famines, and the government 's lack of effective policy led to a loss of popular support. In 1351, the Red Turban Rebellion started and grew into a nationwide uprising.",a loss of popular support,"what did the government ' s lack of effective policy lead to ?
",203,227,a loss of popular support,1.0
24,24,"This reduces the probability that pathogens will reach sufficient numbers to cause illness. However, since most antibiotics non-specifically target bacteria and do not affect fungi, oral antibiotics can lead to an ""overgrowth"" of fungi and cause conditions such as a vaginal candidiasis (a yeast infection). There is good evidence that re-introduction of probiotic flora, such as pure cultures of the lactobacilli normally found in unpasteurized yogurt, helps restore a healthy balance of microbial populations in intestinal infections in children and encouraging preliminary data in studies on bacterial gastroenteritis, inflammatory bowel diseases, urinary tract infection and post-surgical infections.",oral antibiotics,"what can lead to an "" overgrowth "" of fungi ?
",182,197,oral antibiotics,1.0
25,25,"This reduces the probability that pathogens will reach sufficient numbers to cause illness. However, since most antibiotics non-specifically target bacteria and do not affect fungi, oral antibiotics can lead to an ""overgrowth"" of fungi and cause conditions such as a vaginal candidiasis (a yeast infection). There is good evidence that re-introduction of probiotic flora, such as pure cultures of the lactobacilli normally found in unpasteurized yogurt, helps restore a healthy balance of microbial populations in intestinal infections in children and encouraging preliminary data in studies on bacterial gastroenteritis, inflammatory bowel diseases, urinary tract infection and post-surgical infections.","an ""overgrowth"" of fungi and cause conditions such as a vaginal candidiasis (a yeast infection)","what can oral antibiotics cause ?
",211,305,"an "" overgrowth "" of fungi",0.4
26,26,"The Confederation of the Rhine was established by Napoleon, as a French client state, in 1806 and lasted until 1814, during which time it served as a significant source of resources and military manpower for the First French Empire. In 1840, the Rhine crisis, prompted by French prime minister Adolphe Thiers 's desire to reinstate the Rhine as a natural border, led to a diplomatic crisis and a wave of nationalism in Germany. ",French prime minister Adolphe Thiers 's desire to reinstate the Rhine as a natural border,"what prompted the rhine crisis ?
",272,360,french prime minister adolphe thiers ' s desire to reinstate the rhine as a natural border,1.0
27,27,"The Confederation of the Rhine was established by Napoleon, as a French client state, in 1806 and lasted until 1814, during which time it served as a significant source of resources and military manpower for the First French Empire. In 1840, the Rhine crisis, prompted by French prime minister Adolphe Thiers 's desire to reinstate the Rhine as a natural border, led to a diplomatic crisis and a wave of nationalism in Germany. ",a diplomatic crisis and a wave of nationalism in Germany,"what did the rhine crisis lead to ?
",370,425,a diplomatic crisis and a wave of nationalism in germany,1.0
28,28,"The core consists of high areas of income and profit; the periphery is on the opposing side of the spectrum consisting of areas of low income and profit. These critical theories of Geo-politics have led to increased discussion of the meaning and impact of imperialism on the modern post-colonial world. The Russian leader Lenin suggested that ""imperialism was the highest form of capitalism, claiming that imperialism developed after colonialism, and was distinguished from colonialism by monopoly capitalism"".",These critical theories of Geo-politics,"what has led to increased discussion of the meaning and impact of imperialism on the modern post - colonial world ?
",154,192,critical theories of geo - politics,0.6
29,29,"The core consists of high areas of income and profit; the periphery is on the opposing side of the spectrum consisting of areas of low income and profit. These critical theories of Geo-politics have led to increased discussion of the meaning and impact of imperialism on the modern post-colonial world. The Russian leader Lenin suggested that ""imperialism was the highest form of capitalism, claiming that imperialism developed after colonialism, and was distinguished from colonialism by monopoly capitalism"".",increased discussion of the meaning and impact of imperialism on the modern post-colonial world,"what have the critical theories of geo - politics led to ?
",206,300,increased discussion of the meaning and impact of imperialism on the modern post - colonial world,0.8799999999999999
30,30,"Only in 1918 did it regain independence from the foreign rule and emerge as a new capital of the independent Republic of Poland. The German invasion in 1939, the massacre of the Jewish population and deportations to concentration camps led to the uprising in the Warsaw ghetto in 1943 and to the major and devastating Warsaw Uprising between August and October 1944. Warsaw gained the title of the ""Phoenix City"" because it has survived many wars, conflicts and invasions throughout its long history.","The German invasion in 1939, the massacre of the Jewish population and deportations to concentration camps","what led to the uprising in the warsaw ghetto ?
",129,234,"the german invasion in 1939 , the massacre of the jewish population and deportations to concentration camps",1.0
31,31,"Only in 1918 did it regain independence from the foreign rule and emerge as a new capital of the independent Republic of Poland. The German invasion in 1939, the massacre of the Jewish population and deportations to concentration camps led to the uprising in the Warsaw ghetto in 1943 and to the major and devastating Warsaw Uprising between August and October 1944. Warsaw gained the title of the ""Phoenix City"" because it has survived many wars, conflicts and invasions throughout its long history.",the uprising in the Warsaw ghetto in 1943 and to the major and devastating Warsaw Uprising between August and October 1944,"what did the german invasion of poland lead to ?
",243,364,,0.0
32,32,"Monckton 's forces, including companies of Rogers ' Rangers, forcibly removed thousands of Acadians, chasing down many who resisted, and sometimes committing atrocities. More than any other factor, the cutting off of supplies to Louisbourg led to its demise. The Acadian resistance, in concert with native allies, including the Mi ` kmaq, was sometimes quite stiff, with ongoing frontier raids (against Dartmouth and Lunenburg among others).",the cutting off of supplies to Louisbourg,"what led to the demise of the acadian resistance ?
",198,238,the cutting off of supplies to louisbourg,1.0
33,33,"Monckton 's forces, including companies of Rogers ' Rangers, forcibly removed thousands of Acadians, chasing down many who resisted, and sometimes committing atrocities. More than any other factor, the cutting off of supplies to Louisbourg led to its demise. The Acadian resistance, in concert with native allies, including the Mi ` kmaq, was sometimes quite stiff, with ongoing frontier raids (against Dartmouth and Lunenburg among others).",its demise,"what did the cutting off of supplies to louisbourg lead to ?
",247,256,its demise,1.0
34,34," The British failures in North America, combined with other failures in the European theater, led to the fall from power of Newcastle and his principal military advisor, the Duke of Cumberland. Newcastle and Pitt joined in an uneasy coalition in which Pitt dominated the military planning.",other failures in the European theater,"what other failures led to the fall of newcastle and the duke of cumberland ?
",54,91,british failures in north america,0.4000000000000001
35,35," The British failures in North America, combined with other failures in the European theater, led to the fall from power of Newcastle and his principal military advisor, the Duke of Cumberland. Newcastle and Pitt joined in an uneasy coalition in which Pitt dominated the military planning.","the fall from power of Newcastle and his principal military advisor, the Duke of Cumberland","what did the failures in north america lead to ?
",101,191,"the fall from power of newcastle and his principal military advisor , the duke of cumberland",1.0
36,36,"Michael Faraday and James Clerk Maxwell demonstrated that electric and magnetic forces were unified through one consistent theory of electromagnetism. In the 20th century, the development of quantum mechanics led to a modern understanding that the first three fundamental forces (all except gravity) are manifestations of matter (fermions) interacting by exchanging virtual particles called gauge bosons. This standard model of particle physics posits a similarity between the forces and led scientists to predict the unification of the weak and electromagnetic forces in electroweak theory subsequently confirmed by observation.",the development of quantum mechanics,"what led to a modern understanding of the first three fundamental forces ?
",172,207,the development of quantum mechanics,1.0
37,37,"Michael Faraday and James Clerk Maxwell demonstrated that electric and magnetic forces were unified through one consistent theory of electromagnetism. In the 20th century, the development of quantum mechanics led to a modern understanding that the first three fundamental forces (all except gravity) are manifestations of matter (fermions) interacting by exchanging virtual particles called gauge bosons. This standard model of particle physics posits a similarity between the forces and led scientists to predict the unification of the weak and electromagnetic forces in electroweak theory subsequently confirmed by observation.",a modern understanding that the first three fundamental forces (all except gravity) are manifestations of matter (fermions) interacting by exchanging virtual particles called gauge bosons,"what did the development of quantum mechanics lead to ?
",216,402,a modern understanding that the first three fundamental forces ( all except gravity ) are manifestations of matter ( fermions ) interacting by exchanging virtual particles called gauge bosons,1.0
38,38,"Most Norman knights remained poor and land-hungry, and by 1066 Normandy had been exporting fighting horsemen for more than a generation. Many Normans of Italy, France and England eventually served as avid Crusaders under the Italo-Norman prince Bohemund I and the Anglo-Norman king Richard the Lion-Heart. ",avid Crusaders under the Italo-Norman prince Bohemund I and the Anglo-Norman king Richard the Lion-Heart,"what did many normans of italy , france and england serve as ?
",200,303,avid crusaders,0.2857142857142857
39,39,"Most Norman knights remained poor and land-hungry, and by 1066 Normandy had been exporting fighting horsemen for more than a generation. Many Normans of Italy, France and England eventually served as avid Crusaders under the Italo-Norman prince Bohemund I and the Anglo-Norman king Richard the Lion-Heart. ","Many Normans of Italy, France and England eventually served","who did the italo - norman prince bohemund i lead ?
",137,195,"many normans of italy , france and england eventually served as avid crusaders",0.8571428571428571
40,40,"There is debate whether the Normans in Greek service actually were from Norman Italy, and it now seems likely only a few came from there. It is also unknown how many of the ""Franks"", as the Byzantines called them, were Normans and not other Frenchmen. ","the Byzantines called them, were Normans and not other Frenchmen","what is unknown about the "" franks "" ?
",186,249,"how many of the "" franks "" , as the byzantines called them , were normans",0.5263157894736842
41,41,"There is debate whether the Normans in Greek service actually were from Norman Italy, and it now seems likely only a few came from there. It is also unknown how many of the ""Franks"", as the Byzantines called them, were Normans and not other Frenchmen. ","It is also unknown how many of the ""Franks","how many of the normans in greek service were frenchmen ?
",138,179,a few,0.0
42,42,"Several families of Byzantine Greece were of Norman mercenary origin during the period of the Comnenian Restoration, when Byzantine emperors were seeking out western European warriors. The Raoulii were descended from an Italo-Norman named Raoul, the Petraliphae were descended from a Pierre d'Aulps, and that group of Albanian clans known as the Maniakates were descended from Normans who served under George Maniaces in the Sicilian expedition of 1038. ",the Maniakates were descended from Normans who served under George Maniaces in the Sicilian expedition of 1038,"what are the origins of the maniakates ?
",342,451,normans who served under george maniaces in the sicilian expedition of 1038,0.846153846153846
43,43,"Several families of Byzantine Greece were of Norman mercenary origin during the period of the Comnenian Restoration, when Byzantine emperors were seeking out western European warriors. The Raoulii were descended from an Italo-Norman named Raoul, the Petraliphae were descended from a Pierre d'Aulps, and that group of Albanian clans known as the Maniakates were descended from Normans who served under George Maniaces in the Sicilian expedition of 1038. ",group of Albanian clans known,"what were the maniakates ?
",309,337,albanian clans,0.5714285714285715
44,44," Robert Guiscard, an other Norman adventurer previously elevated to the dignity of count of Apulia as the result of his military successes, ultimately drove the Byzantines out of southern Italy. Having obtained the consent of pope Gregory VII and acting as his vassal, Robert continued his campaign conquering the Balkan peninsula as a foothold for western feudal lords and the Catholic Church.","the result of his military successes, ultimately drove the Byzantines out of southern Italy","why was robert guiscard elevated to count of apulia ?
",102,192,his military successes,0.4
45,45," Robert Guiscard, an other Norman adventurer previously elevated to the dignity of count of Apulia as the result of his military successes, ultimately drove the Byzantines out of southern Italy. Having obtained the consent of pope Gregory VII and acting as his vassal, Robert continued his campaign conquering the Balkan peninsula as a foothold for western feudal lords and the Catholic Church.","Robert Guiscard, an other Norman adventurer previously elevated to the dignity of count of Apulia","who drove the byzantines out of southern italy ?
",1,97,robert guiscard,0.2666666666666667
46,46,"'' The Normans settled mostly in an area in the east of Ireland, later known as the Pale, and also built many fine castles and settlements, including Trim Castle and Dublin Castle. Both cultures intermixed, borrowing from each other 's language, culture and outlook.","the Pale, and also built many fine castles and settlements, including Trim Castle and","what was the name of the area the normans settled in ?
",80,164,the pale,0.14285714285714288
47,47,"'' The Normans settled mostly in an area in the east of Ireland, later known as the Pale, and also built many fine castles and settlements, including Trim Castle and Dublin Castle. Both cultures intermixed, borrowing from each other 's language, culture and outlook.","The Normans settled mostly in an area in the east of Ireland, later known","where did the normans settle ?
",3,75,,0.0
48,48,"A computational problem can be viewed as an infinite collection of instances together with a solution for every instance. The input string for a computational problem is referred to as a problem instance, and should not be confused with the problem itself. In computational complexity theory, a problem refers to the abstract question to be solved.","a problem instance, and should not be confused with the problem","what is the input string for a computational problem referred to as ?
",185,247,a problem instance,0.3636363636363636
49,49,"A computational problem can be viewed as an infinite collection of instances together with a solution for every instance. The input string for a computational problem is referred to as a problem instance, and should not be confused with the problem itself. In computational complexity theory, a problem refers to the abstract question to be solved.",The input string for a computational problem is referred to,"what is a problem instance ?
",122,180,the input string for a computational problem,0.7692307692307693
50,50,"Usually, the alphabet is taken to be the binary alphabet (i.e., the set-LCB-0,1-RCB-), and thus the strings are bitstrings. As in a real-world computer, mathematical objects other than bitstrings must be suitably encoded. For example, integers can be represented in binary notation, and graphs can be encoded directly via their adjacency matrices, or by encoding their adjacency lists in binary.",in a real-world computer,"mathematical objects other than bitstrings must be suitably encoded as what ?
",127,150,a real - world computer,0.3333333333333333
51,51,"Usually, the alphabet is taken to be the binary alphabet (i.e., the set-LCB-0,1-RCB-), and thus the strings are bitstrings. As in a real-world computer, mathematical objects other than bitstrings must be suitably encoded. For example, integers can be represented in binary notation, and graphs can be encoded directly via their adjacency matrices, or by encoding their adjacency lists in binary.",mathematical objects other than bitstrings must be suitably encoded,"what is a requirement of a real - world computer ?
",153,219,mathematical objects other than bitstrings must be suitably encoded,1.0
52,52,"Furthermore, it is known that everything that can be computed on other models of computation known to us today, such as a RAM machine, Conway 's Game of Life, cellular automata or any programming language can be computed on a Turing machine. Since Turing machines are easy to analyze mathematically, and are believed to be as powerful as any other model of computation, the Turing machine is the most commonly used model in complexity theory. ","powerful as any other model of computation, the Turing machine is the most commonly used model in complexity theory","how powerful are turing machines in complexity theory ?
",326,440,as powerful as any other model of computation,0.56
53,53,"Furthermore, it is known that everything that can be computed on other models of computation known to us today, such as a RAM machine, Conway 's Game of Life, cellular automata or any programming language can be computed on a Turing machine. Since Turing machines are easy to analyze mathematically, and are believed to be as powerful as any other model of computation, the Turing machine is the most commonly used model in complexity theory. ",and are believed to be,"are turing machines as powerful as any other model of computation ?
",300,321,"turing machines are easy to analyze mathematically , and are believed to be as powerful as any other model of computation",0.4
54,54, The complexity class P is often seen as a mathematical abstraction modeling those computational tasks that admit an efficient algorithm. This hypothesis is called the Cobham--Edmonds thesis.,a mathematical abstraction modeling those computational tasks that admit an efficient,"what is the complexity class p often seen as ?
",41,125,a mathematical abstraction modeling those computational tasks that admit an efficient algorithm,0.9473684210526316
55,55, The complexity class P is often seen as a mathematical abstraction modeling those computational tasks that admit an efficient algorithm. This hypothesis is called the Cobham--Edmonds thesis.,The complexity class P is often seen,"how is the cobham - - edmonds thesis seen ?
",1,36,as a mathematical abstraction modeling those computational tasks that admit an efficient algorithm,0.0
56,56,"The integer factorization problem is the computational problem of determining the prime factorization of a given integer. Phrased as a decision problem, it is the problem of deciding whether the input has a factor less than k. No efficient integer factorization algorithm is known, and this fact forms the basis of several modern cryptographic systems, such as the RSA algorithm.","a decision problem, it is the problem of deciding whether the input has a factor less than k","what is the integer factorization problem phrased as ?
",133,224,a decision problem,0.25
57,57,"The integer factorization problem is the computational problem of determining the prime factorization of a given integer. Phrased as a decision problem, it is the problem of deciding whether the input has a factor less than k. No efficient integer factorization algorithm is known, and this fact forms the basis of several modern cryptographic systems, such as the RSA algorithm.",The integer factorization problem is the computational problem of determining the prime factorization of a given integer. Phrased,"how is the integer factorization problem phrased ?
",0,128,as a decision problem,0.11764705882352941
58,58,"Southern California, often abbreviated SoCal, is a geographic and cultural region that generally comprises California 's southernmost 10 counties. The region is traditionally described as ""eight counties"", based on demographics and economic ties: Imperial, Los Angeles, Orange, Riverside, San Bernardino, San Diego, Santa Barbara, and Ventura. The more extensive 10-county definition, including Kern and San Luis Obispo counties, is also used based on historical political divisions.","eight counties"", based on demographics and economic ties: Imperial, Los Angeles, Orange, Riverside","what is the traditional definition of southern california ?
",189,286,"eight counties """,0.2666666666666667
59,59,"Southern California, often abbreviated SoCal, is a geographic and cultural region that generally comprises California 's southernmost 10 counties. The region is traditionally described as ""eight counties"", based on demographics and economic ties: Imperial, Los Angeles, Orange, Riverside, San Bernardino, San Diego, Santa Barbara, and Ventura. The more extensive 10-county definition, including Kern and San Luis Obispo counties, is also used based on historical political divisions.",The region is traditionally described,"what are the "" eight counties "" of southern california ?
",147,183,"imperial , los angeles , orange , riverside , san bernardino , san diego , santa barbara , and ventura",0.0
60,60,"Following the acquisition of California by the United States, the division continued as part of the attempt by several pro-slavery politicians to arrange the division of Alta California at 36 degrees, 30 minutes, the line of the Missouri Compromise. Instead, the passing of the Compromise of 1850 enabled California to be admitted to the Union as a free state, preventing southern California from becoming its own separate slave state. ","a free state, preventing southern California from becoming its own separate slave state","what did the compromise of 1850 do to california ?
",347,433,enabled california to be admitted to the union as a free state,0.2727272727272727
61,61,"Following the acquisition of California by the United States, the division continued as part of the attempt by several pro-slavery politicians to arrange the division of Alta California at 36 degrees, 30 minutes, the line of the Missouri Compromise. Instead, the passing of the Compromise of 1850 enabled California to be admitted to the Union as a free state, preventing southern California from becoming its own separate slave state. ","Instead, the passing of the Compromise of 1850 enabled California to be admitted to the Union","what prevented southern california from becoming a separate state ?
",250,342,compromise of 1850,0.375
62,62,"To the east, the United States Census Bureau considers the San Bernardino and Riverside County areas, Riverside-San Bernardino area as a separate metropolitan area from Los Angeles County. While many commute to L.A. and Orange Counties, there are some differences in development, as most of San Bernardino and Riverside Counties (the non-desert portions) were developed in the 1980s and 1990s. Newly developed exurbs formed in the Antelope Valley north of Los Angeles, the Victor Valley and the Coachella Valley with the Imperial Valley.",most of San Bernardino and Riverside Counties (the non-desert portions) were developed in the 1980s and 1990s,"when did san bernardino and riverside counties begin to develop ?
",283,391,1980s and 1990s,0.33333333333333337
63,63,"To the east, the United States Census Bureau considers the San Bernardino and Riverside County areas, Riverside-San Bernardino area as a separate metropolitan area from Los Angeles County. While many commute to L.A. and Orange Counties, there are some differences in development, as most of San Bernardino and Riverside Counties (the non-desert portions) were developed in the 1980s and 1990s. Newly developed exurbs formed in the Antelope Valley north of Los Angeles, the Victor Valley and the Coachella Valley with the Imperial Valley.","While many commute to L.A. and Orange Counties, there are some differences in development","are there any differences between the san bernardino and riverside counties ?
",189,277,there are some differences in development,0.6
64,64,"Serious rain can occur unusually. In the summers, temperature ranges are 90-60 's while as winters are 70-50 's, usually all of Southern California have Mediterranean climate. But snow is very rare in the Southwest of the state, it occurs on the Southeast of the state.","winters are 70-50 's, usually all of Southern California have Mediterranean climate","what type of climate does southern california have
",91,173,mediterranean,0.15384615384615385
65,65,"Serious rain can occur unusually. In the summers, temperature ranges are 90-60 's while as winters are 70-50 's, usually all of Southern California have Mediterranean climate. But snow is very rare in the Southwest of the state, it occurs on the Southeast of the state.","In the summers, temperature ranges are 90-60 's while","what are the temperature ranges in southern california ?
",34,86,90 - 60 ' s,0.18181818181818182
66,66,"Southern California is divided culturally, politically, and economically into distinctive regions, each containing its own culture and atmosphere, anchored usually by a city with both national and sometimes global recognition, which are often the hub of economic activity for its respective region and being home to many tourist destinations. Each region is further divided into many culturally distinct areas but as a whole combine to create the southern California atmosphere. ",a whole combine to create the southern California atmosphere,"what do the regions of southern california do as a whole ?
",417,476,combine to create the southern california atmosphere,0.923076923076923
67,67,"Southern California is divided culturally, politically, and economically into distinctive regions, each containing its own culture and atmosphere, anchored usually by a city with both national and sometimes global recognition, which are often the hub of economic activity for its respective region and being home to many tourist destinations. Each region is further divided into many culturally distinct areas but as a whole combine to create the southern California atmosphere. ",Each region is further divided into many culturally distinct areas but,"what creates the southern california atmosphere ?
",343,412,each region is further divided into many culturally distinct areas,0.9523809523809523
68,68,"As of the 2010 United States Census, southern California has a population of 22,680,010. Despite a reputation for high growth rates, southern California 's rate grew less than the state average of 10.0% in the 2000s as California 's growth became concentrated in the northern part of the state due to a stronger, tech-oriented economy in the Bay Area and an emerging Greater Sacramento region. ","California 's growth became concentrated in the northern part of the state due to a stronger, tech-oriented economy in the Bay Area and an emerging Greater Sacramento region","why did southern california ' s rate of growth lessen in the 2000s ?
",219,391,california ' s growth became concentrated in the northern part of the state,0.6060606060606061
69,69,"As of the 2010 United States Census, southern California has a population of 22,680,010. Despite a reputation for high growth rates, southern California 's rate grew less than the state average of 10.0% in the 2000s as California 's growth became concentrated in the northern part of the state due to a stronger, tech-oriented economy in the Bay Area and an emerging Greater Sacramento region. ","a reputation for high growth rates, southern California 's rate grew less than the state average of 10.0% in the 2000s","why did southern california ' s population grow less than the state average ?
",97,214,a reputation for high growth rates,0.4347826086956522
