,context,answer,question,start_idx,end_idx
10,"Under these harsh circumstances , the locals accepted the call of emperor Alexius I Comnenus to join forces with the Byzantines against the Normans .The Albanian forces could not take part in the ensuing battle because it had started before their arrival .Immediately before the battle , the Venetian fleet had secured a victory in the coast surrounding the city .",it had started before their arrival .,"why couldn ' t the albanian forces take part in the battle ?
",219,255
11,"Under these harsh circumstances , the locals accepted the call of emperor Alexius I Comnenus to join forces with the Byzantines against the Normans .The Albanian forces could not take part in the ensuing battle because it had started before their arrival .Immediately before the battle , the Venetian fleet had secured a victory in the coast surrounding the city .",The Albanian forces could not take part in the ensuing battle,"what happened to the albanian forces when they arrived in constantinople ?
",149,209
12,"The lack of supplies , disease and Byzantine resistance forced Bohemond to retreat from his campaign and sign a peace treaty with the Byzantines in the city of Deabolis .The further decline of Byzantine state-of-affairs paved the road to a third attack in 1185 , when a large Norman army invaded Dyrrachium , owing to the betrayal of high Byzantine officials .Some time later , Dyrrachium -- one of the most important naval bases of the Adriatic -- fell again to Byzantine hands .",the betrayal of high Byzantine officials,"why did the normans invade dyrrachium ?
",318,357
13,"The lack of supplies , disease and Byzantine resistance forced Bohemond to retreat from his campaign and sign a peace treaty with the Byzantines in the city of Deabolis .The further decline of Byzantine state-of-affairs paved the road to a third attack in 1185 , when a large Norman army invaded Dyrrachium , owing to the betrayal of high Byzantine officials .Some time later , Dyrrachium -- one of the most important naval bases of the Adriatic -- fell again to Byzantine hands .","The further decline of Byzantine state-of-affairs paved the road to a third attack in 1185 , when a large Norman army invaded Dyrrachium","why did the normans invade dyrrachium ?
",170,305
14,"This relationship eventually produced closer ties of blood through the marriage of Emma , sister of Duke Richard II of Normandy , and King Ethelred II of England .Because of this , Ethelred fled to Normandy in 1013 , when he was forced from his kingdom by Sweyn Forkbeard .His stay in Normandy -LRB- until 1016 -RRB- influenced him and his sons by Emma , who stayed in Normandy after Cnut the Great 's conquest of the isle .","This relationship eventually produced closer ties of blood through the marriage of Emma , sister of Duke Richard II of Normandy , and King Ethelred II of England","what was the result of the marriage of emma and king ethelred ii of england
",0,160
15,"This relationship eventually produced closer ties of blood through the marriage of Emma , sister of Duke Richard II of Normandy , and King Ethelred II of England .Because of this , Ethelred fled to Normandy in 1013 , when he was forced from his kingdom by Sweyn Forkbeard .His stay in Normandy -LRB- until 1016 -RRB- influenced him and his sons by Emma , who stayed in Normandy after Cnut the Great 's conquest of the isle .","Ethelred fled to Normandy in 1013 , when he was forced from his kingdom by Sweyn Forkbeard .","why did ethelred flee to normandy ?
",181,272
16,"Yet , with time , they came to be subsumed into Irish culture to the point that it has been said that they became `` more Irish than the Irish themselves .The Normans settled mostly in an area in the east of Ireland , later known as the Pale , and also built many fine castles and settlements , including Trim Castle and Dublin Castle .Both cultures intermixed , borrowing from each other 's language , culture and outlook .","the Pale , and also built many fine castles and settlements , including Trim Castle and","what area of ireland did the normans settle in ?
",233,319
17,"Yet , with time , they came to be subsumed into Irish culture to the point that it has been said that they became `` more Irish than the Irish themselves .The Normans settled mostly in an area in the east of Ireland , later known as the Pale , and also built many fine castles and settlements , including Trim Castle and Dublin Castle .Both cultures intermixed , borrowing from each other 's language , culture and outlook .","The Normans settled mostly in an area in the east of Ireland , later known","where did the normans settle in ireland ?
",155,228
18,"William invaded Scotland in 1072 , riding as far as Abernethy where he met up with his fleet of ships .Malcolm submitted , paid homage to William and surrendered his son Duncan as a hostage , beginning a series of arguments as to whether the Scottish Crown owed allegiance to the King of England .Normans came into Scotland , building castles and founding noble families who would provide some future kings , such as Robert the Bruce , as well as founding a considerable number of the Scottish clans .","Malcolm submitted , paid homage to William and surrendered his","what happened to malcolm ' s son ?
",103,164
19,"William invaded Scotland in 1072 , riding as far as Abernethy where he met up with his fleet of ships .Malcolm submitted , paid homage to William and surrendered his son Duncan as a hostage , beginning a series of arguments as to whether the Scottish Crown owed allegiance to the King of England .Normans came into Scotland , building castles and founding noble families who would provide some future kings , such as Robert the Bruce , as well as founding a considerable number of the Scottish clans .",whether the Scottish Crown owed allegiance to the King of England .,"why did malcolm surrender his son to william ?
",230,296
20,"He ordered Isaac to release the prisoners and the treasure .Isaac refused , so Richard landed his troops and took Limassol .Various princes of the Holy Land arrived in Limassol at the same time , in particular Guy de Lusignan .",Isaac refused,"did isaac release the prisoners or treasure ?
",60,72
21,"He ordered Isaac to release the prisoners and the treasure .Isaac refused , so Richard landed his troops and took Limassol .Various princes of the Holy Land arrived in Limassol at the same time , in particular Guy de Lusignan .",Richard landed his troops and took Limassol .,"what happened after isaac refused to release the prisoners ?
",79,123
22,"Richard then proceeded to conquer the whole island , his troops being led by Guy de Lusignan .Isaac surrendered and was confined with silver chains , because Richard had promised that he would not place him in irons .By 1 June , Richard had conquered the whole island .",Richard had promised that he would not place him in irons .,"why was isaac confined with silver chains ?
",158,216
23,"Richard then proceeded to conquer the whole island , his troops being led by Guy de Lusignan .Isaac surrendered and was confined with silver chains , because Richard had promised that he would not place him in irons .By 1 June , Richard had conquered the whole island .",Isaac surrendered and was confined with silver chains,"what did richard do to isaac ?
",94,146
24,Finally should be noted the intercourse between French Crusaders traveling to the Holy Land who brought with them French artefacts with which to gift the churches at which they stopped in southern Italy amongst their Norman cousins .For this reason many south Italian churches preserve works from France alongside their native pieces .Normandy was the site of several important developments in the history of classical music in the 11th century .,Finally should be noted the intercourse between French Crusaders traveling to the Holy Land who brought with them French artefacts with which to gift the churches at which they stopped in southern Italy amongst their Norman cousins,"what did the crusaders bring with them to the holy land
",0,230
25,Finally should be noted the intercourse between French Crusaders traveling to the Holy Land who brought with them French artefacts with which to gift the churches at which they stopped in southern Italy amongst their Norman cousins .For this reason many south Italian churches preserve works from France alongside their native pieces .Normandy was the site of several important developments in the history of classical music in the 11th century .,many south Italian churches preserve works from France alongside their native pieces .,"what do many south italian churches preserve ?
",249,334
26,"There they continued the tradition of singing .Computational complexity theory is a branch of the theory of computation in theoretical computer science that focuses on classifying computational problems according to their inherent difficulty , and relating those classes to each other .A computational problem is understood to be a task that is in principle amenable to being solved by a computer , which is equivalent to stating that the problem may be solved by mechanical application of mathematical steps , such as an algorithm .",their inherent difficulty,"what does computational complexity theory classify computational problems according to ?
",216,240
27,"There they continued the tradition of singing .Computational complexity theory is a branch of the theory of computation in theoretical computer science that focuses on classifying computational problems according to their inherent difficulty , and relating those classes to each other .A computational problem is understood to be a task that is in principle amenable to being solved by a computer , which is equivalent to stating that the problem may be solved by mechanical application of mathematical steps , such as an algorithm .",and relating those classes to each other .,"what is the goal of computational complexity theory ?
",244,285
28,"A computational problem is understood to be a task that is in principle amenable to being solved by a computer , which is equivalent to stating that the problem may be solved by mechanical application of mathematical steps , such as an algorithm .A problem is regarded as inherently difficult if its solution requires significant resources , whatever the algorithm used .The theory formalizes this intuition , by introducing mathematical models of computation to study these problems and quantifying the amount of resources needed to solve them , such as time and storage .","its solution requires significant resources , whatever the algorithm used .","what makes a computational problem inherently difficult ?
",296,370
29,"A computational problem is understood to be a task that is in principle amenable to being solved by a computer , which is equivalent to stating that the problem may be solved by mechanical application of mathematical steps , such as an algorithm .A problem is regarded as inherently difficult if its solution requires significant resources , whatever the algorithm used .The theory formalizes this intuition , by introducing mathematical models of computation to study these problems and quantifying the amount of resources needed to solve them , such as time and storage .",A problem is regarded as inherently difficult,"what happens if the solution of a computational problem requires significant resources ?
",247,291
30,"A problem is regarded as inherently difficult if its solution requires significant resources , whatever the algorithm used .The theory formalizes this intuition , by introducing mathematical models of computation to study these problems and quantifying the amount of resources needed to solve them , such as time and storage .Other complexity measures are also used , such as the amount of communication -LRB- used in communication complexity -RRB- , the number of gates in a circuit -LRB- used in circuit complexity -RRB- and the number of processors -LRB- used in parallel computing -RRB- .","introducing mathematical models of computation to study these problems and quantifying the amount of resources needed to solve them , such as time and storage","how does the theory formalize this intuition ?
",166,323
31,"A problem is regarded as inherently difficult if its solution requires significant resources , whatever the algorithm used .The theory formalizes this intuition , by introducing mathematical models of computation to study these problems and quantifying the amount of resources needed to solve them , such as time and storage .Other complexity measures are also used , such as the amount of communication -LRB- used in communication complexity -RRB- , the number of gates in a circuit -LRB- used in circuit complexity -RRB- and the number of processors -LRB- used in parallel computing -RRB- .","The theory formalizes this intuition ,","what happens when mathematical models of computation are used to study a problem ?
",124,161
32,"A computational problem can be viewed as an infinite collection of instances together with a solution for every instance .The input string for a computational problem is referred to as a problem instance , and should not be confused with the problem itself .In computational complexity theory , a problem refers to the abstract question to be solved .","a problem instance , and should not be confused with the problem","what is the input string for a computational problem referred to as ?
",185,248
33,"A computational problem can be viewed as an infinite collection of instances together with a solution for every instance .The input string for a computational problem is referred to as a problem instance , and should not be confused with the problem itself .In computational complexity theory , a problem refers to the abstract question to be solved .",The input string for a computational problem is referred to,"what is a problem instance ?
",122,180
34,"g .15 -RRB- and the solution is `` yes '' if the number is prime and `` no '' otherwise -LRB- in this case `` no '' -RRB- .Stated another way , the instance is a particular input to the problem , and the solution is the output corresponding to the given input .",the number is prime and `` no '' otherwise -LRB- in this case `` no '' -RRB- .,"the solution is ` ` yes ' ' if what ?
",45,122
35,"g .15 -RRB- and the solution is `` yes '' if the number is prime and `` no '' otherwise -LRB- in this case `` no '' -RRB- .Stated another way , the instance is a particular input to the problem , and the solution is the output corresponding to the given input .",15 -RRB- and the solution is `` yes '',"if the number is prime , what is the solution to the problem ?
",3,40
36,"To further highlight the difference between a problem and an instance , consider the following instance of the decision version of the traveling salesman problem : Is there a route of at most 2000 kilometres passing through all of Germany 's 15 largest cities .The quantitative answer to this particular problem instance is of little use for solving other instances of the problem , such as asking for a round trip through all sites in Milan whose total length is at most 10 km .For this reason , complexity theory addresses computational problems and not particular problem instances .","solving other instances of the problem , such as asking for a round trip through all sites in Milan whose total length is at most 10 km","what is the quantitative answer to the traveling salesman problem little used for ?
",342,476
37,"To further highlight the difference between a problem and an instance , consider the following instance of the decision version of the traveling salesman problem : Is there a route of at most 2000 kilometres passing through all of Germany 's 15 largest cities .The quantitative answer to this particular problem instance is of little use for solving other instances of the problem , such as asking for a round trip through all sites in Milan whose total length is at most 10 km .For this reason , complexity theory addresses computational problems and not particular problem instances .",The quantitative answer to this particular problem instance is of little use,"is there a quantitative answer to the traveling salesman problem ?
",261,336
38,"The quantitative answer to this particular problem instance is of little use for solving other instances of the problem , such as asking for a round trip through all sites in Milan whose total length is at most 10 km .For this reason , complexity theory addresses computational problems and not particular problem instances .When considering computational problems , a problem instance is a string over an alphabet .","The quantitative answer to this particular problem instance is of little use for solving other instances of the problem , such as asking for a round trip through all sites in Milan whose total length is at most 10 km","what is the quantitative answer to the milan problem ?
",0,215
39,"The quantitative answer to this particular problem instance is of little use for solving other instances of the problem , such as asking for a round trip through all sites in Milan whose total length is at most 10 km .For this reason , complexity theory addresses computational problems and not particular problem instances .When considering computational problems , a problem instance is a string over an alphabet .",complexity theory addresses computational problems and not particular problem instances .,"what is the purpose of complexity theory ?
",236,324
40,", the set -LCB- 0,1 -RCB- -RRB- , and thus the strings are bitstrings .As in a real-world computer , mathematical objects other than bitstrings must be suitably encoded .For example , integers can be represented in binary notation , and graphs can be encoded directly via their adjacency matrices , or by encoding their adjacency lists in binary .","in a real-world computer , mathematical objects other than bitstrings must be suitably encoded .","are mathematical objects other than bitstrings allowed in a computer ?
",74,169
41,", the set -LCB- 0,1 -RCB- -RRB- , and thus the strings are bitstrings .As in a real-world computer , mathematical objects other than bitstrings must be suitably encoded .For example , integers can be represented in binary notation , and graphs can be encoded directly via their adjacency matrices , or by encoding their adjacency lists in binary .",", the set -LCB- 0,1 -RCB- -RRB- , and thus the strings are bitstrings .","what are bitstrings ?
",0,70
42,"As in a real-world computer , mathematical objects other than bitstrings must be suitably encoded .For example , integers can be represented in binary notation , and graphs can be encoded directly via their adjacency matrices , or by encoding their adjacency lists in binary .Decision problems are one of the central objects of study in computational complexity theory .",encoding their adjacency lists in binary,"how can graphs be encoded ?
",234,273
43,"As in a real-world computer , mathematical objects other than bitstrings must be suitably encoded .For example , integers can be represented in binary notation , and graphs can be encoded directly via their adjacency matrices , or by encoding their adjacency lists in binary .Decision problems are one of the central objects of study in computational complexity theory .","graphs can be encoded directly via their adjacency matrices , or","how can graphs be encoded ?
",166,229
44,"The objective is to decide , with the aid of an algorithm , whether a given input string is a member of the formal language under consideration .If the algorithm deciding this problem returns the answer yes , the algorithm is said to accept the input string , otherwise it is said to reject the input .An example of a decision problem is the following .",the algorithm deciding this problem returns the answer yes,"how is the algorithm said to accept the input string ?
",148,205
45,"The objective is to decide , with the aid of an algorithm , whether a given input string is a member of the formal language under consideration .If the algorithm deciding this problem returns the answer yes , the algorithm is said to accept the input string , otherwise it is said to reject the input .An example of a decision problem is the following .","the algorithm is said to accept the input string , otherwise it is said to reject the input","what happens if the algorithm decides the answer yes ?
",209,299
46,"In particular , larger instances will require more time to solve .Thus the time required to solve a problem -LRB- or the space required , or any measure of complexity -RRB- is calculated as a function of the size of the instance .This is usually taken to be the size of the input in bits .","In particular , larger instances will require more time to solve","why will larger instances require more time to solve ?
",0,63
47,"In particular , larger instances will require more time to solve .Thus the time required to solve a problem -LRB- or the space required , or any measure of complexity -RRB- is calculated as a function of the size of the instance .This is usually taken to be the size of the input in bits .","the time required to solve a problem -LRB- or the space required , or any measure of complexity -RRB- is calculated as a function of the size of the instance .","what is calculated as a function of the size of the instance ?
",71,229
48,"For instance , in the problem of finding whether a graph is connected , how much more time does it take to solve a problem for a graph with 2n vertices compared to the time taken for a graph with n vertices .If the input size is n , the time taken can be expressed as a function of n .Since the time taken on different inputs of the same size can be different , the worst-case time complexity T -LRB- n -RRB- is defined to be the maximum time taken over all inputs of size n .",the input size is n,"when can the time taken be expressed as a function of n ?
",211,229
49,"For instance , in the problem of finding whether a graph is connected , how much more time does it take to solve a problem for a graph with 2n vertices compared to the time taken for a graph with n vertices .If the input size is n , the time taken can be expressed as a function of n .Since the time taken on different inputs of the same size can be different , the worst-case time complexity T -LRB- n -RRB- is defined to be the maximum time taken over all inputs of size n .",the time taken can be expressed as a function of n .,"what happens if the input size is n ?
",233,284
50,"Since the time taken on different inputs of the same size can be different , the worst-case time complexity T -LRB- n -RRB- is defined to be the maximum time taken over all inputs of size n .If T -LRB- n -RRB- is a polynomial in n , then the algorithm is said to be a polynomial time algorithm .Cobham 's thesis says that a problem can be solved with a feasible amount of resources if it admits a polynomial time algorithm .",T -LRB- n -RRB- is a polynomial in n,"what is said to be a polynomial time algorithm ?
",194,229
51,"Since the time taken on different inputs of the same size can be different , the worst-case time complexity T -LRB- n -RRB- is defined to be the maximum time taken over all inputs of size n .If T -LRB- n -RRB- is a polynomial in n , then the algorithm is said to be a polynomial time algorithm .Cobham 's thesis says that a problem can be solved with a feasible amount of resources if it admits a polynomial time algorithm .",then the algorithm is said to be a polynomial time algorithm .,"what happens if t - lrb - n - rrb - is a polynomial in n ?
",233,294
52,"If T -LRB- n -RRB- is a polynomial in n , then the algorithm is said to be a polynomial time algorithm .Cobham 's thesis says that a problem can be solved with a feasible amount of resources if it admits a polynomial time algorithm .A Turing machine is a mathematical model of a general computing machine .",it admits a polynomial time algorithm .,"what does cobham ' s thesis say a problem can be solved with a feasible amount of resources ?
",194,232
53,"If T -LRB- n -RRB- is a polynomial in n , then the algorithm is said to be a polynomial time algorithm .Cobham 's thesis says that a problem can be solved with a feasible amount of resources if it admits a polynomial time algorithm .A Turing machine is a mathematical model of a general computing machine .",Cobham 's thesis says that a problem can be solved with a feasible amount of resources,"what is cobham ' s thesis ?
",104,189
54,"Turing machines are not intended as a practical computing technology , but rather as a thought experiment representing a computing machine -- anything from an advanced supercomputer to a mathematician with a pencil and paper .It is believed that if a problem can be solved by an algorithm , there exists a Turing machine that solves the problem .Indeed , this is the statement of the Church -- Turing thesis .",a problem can be solved by an algorithm,"what is it believed that there is a turing machine that solves a problem ?
",249,287
55,"Turing machines are not intended as a practical computing technology , but rather as a thought experiment representing a computing machine -- anything from an advanced supercomputer to a mathematician with a pencil and paper .It is believed that if a problem can be solved by an algorithm , there exists a Turing machine that solves the problem .Indeed , this is the statement of the Church -- Turing thesis .",there exists a Turing machine that solves the problem .,"what is believed to happen if a problem can be solved by an algorithm ?
",291,345
56,"Furthermore , it is known that everything that can be computed on other models of computation known to us today , such as a RAM machine , Conway 's Game of Life , cellular automata or any programming language can be computed on a Turing machine .Since Turing machines are easy to analyze mathematically , and are believed to be as powerful as any other model of computation , the Turing machine is the most commonly used model in complexity theory .A deterministic Turing machine is the most basic Turing machine , which uses a fixed set of rules to determine its future actions .",Turing machines are easy to analyze mathematically,"why are turing machines the most commonly used model in complexity theory ?
",252,301
57,"Furthermore , it is known that everything that can be computed on other models of computation known to us today , such as a RAM machine , Conway 's Game of Life , cellular automata or any programming language can be computed on a Turing machine .Since Turing machines are easy to analyze mathematically , and are believed to be as powerful as any other model of computation , the Turing machine is the most commonly used model in complexity theory .A deterministic Turing machine is the most basic Turing machine , which uses a fixed set of rules to determine its future actions .","and are believed to be as powerful as any other model of computation , the Turing machine is the most commonly used model in complexity theory .","why is the turing machine the most used model in complexity theory ?
",305,448
58,"Furthermore , it is known that everything that can be computed on other models of computation known to us today , such as a RAM machine , Conway 's Game of Life , cellular automata or any programming language can be computed on a Turing machine .Since Turing machines are easy to analyze mathematically , and are believed to be as powerful as any other model of computation , the Turing machine is the most commonly used model in complexity theory .A deterministic Turing machine is the most basic Turing machine , which uses a fixed set of rules to determine its future actions .","powerful as any other model of computation , the Turing machine is the most commonly used model in complexity theory .","what is the power of a turing machine ?
",331,448
59,"Furthermore , it is known that everything that can be computed on other models of computation known to us today , such as a RAM machine , Conway 's Game of Life , cellular automata or any programming language can be computed on a Turing machine .Since Turing machines are easy to analyze mathematically , and are believed to be as powerful as any other model of computation , the Turing machine is the most commonly used model in complexity theory .A deterministic Turing machine is the most basic Turing machine , which uses a fixed set of rules to determine its future actions .",and are believed to be,"are turing machines as powerful as any other model of computation ?
",305,326
60,"A non-deterministic Turing machine is a deterministic Turing machine with an added feature of non-determinism , which allows a Turing machine to have multiple possible future actions from a given state .One way to view non-determinism is that the Turing machine branches into many possible computational paths at each step , and if it solves the problem in any of these branches , it is said to have solved the problem .Clearly , this model is not meant to be a physically realizable model , it is just a theoretically interesting abstract machine that gives rise to particularly interesting complexity classes .",it solves the problem in any of these branches,"how is a non - deterministic turing machine said to have solved a problem ?
",332,377
61,"A non-deterministic Turing machine is a deterministic Turing machine with an added feature of non-determinism , which allows a Turing machine to have multiple possible future actions from a given state .One way to view non-determinism is that the Turing machine branches into many possible computational paths at each step , and if it solves the problem in any of these branches , it is said to have solved the problem .Clearly , this model is not meant to be a physically realizable model , it is just a theoretically interesting abstract machine that gives rise to particularly interesting complexity classes .",it is said to have solved the problem .,"what happens if a turing machine solves a problem in any of the possible computational paths ?
",381,419
62,"For example , a non-deterministic Turing machine is a computational model that is allowed to branch out to check many different possibilities at once .The non-deterministic Turing machine has very little to do with how we physically want to compute algorithms , but its branching exactly captures many of the mathematical models we want to analyze , so that non-deterministic time is a very important resource in analyzing computational problems .For a precise definition of what it means to solve a problem using a given amount of time and space , a computational model such as the deterministic Turing machine is used .","The non-deterministic Turing machine has very little to do with how we physically want to compute algorithms , but its branching exactly captures many of the mathematical models we want to analyze ,","why is non - deterministic time an important resource in analyzing computational problems ?
",151,348
63,"For example , a non-deterministic Turing machine is a computational model that is allowed to branch out to check many different possibilities at once .The non-deterministic Turing machine has very little to do with how we physically want to compute algorithms , but its branching exactly captures many of the mathematical models we want to analyze , so that non-deterministic time is a very important resource in analyzing computational problems .For a precise definition of what it means to solve a problem using a given amount of time and space , a computational model such as the deterministic Turing machine is used .",non-deterministic time is a very important resource in analyzing computational problems .,"what is the benefit of using a non - deterministic turing machine ?
",358,446
64,"The time required by a deterministic Turing machine M on input x is the total number of state transitions , or steps , the machine makes before it halts and outputs the answer -LRB- `` yes '' or `` no '' -RRB- .A Turing machine M is said to operate within time f -LRB- n -RRB- , if the time required by M on each input of length n is at most f -LRB- n -RRB- .A decision problem A can be solved in time f -LRB- n -RRB- if there exists a Turing machine operating in time f -LRB- n -RRB- that solves the problem .",the time required by M on each input of length n is at most f -LRB- n -RRB- .,"how is a turing machine said to operate within time ?
",282,358
65,"The time required by a deterministic Turing machine M on input x is the total number of state transitions , or steps , the machine makes before it halts and outputs the answer -LRB- `` yes '' or `` no '' -RRB- .A Turing machine M is said to operate within time f -LRB- n -RRB- , if the time required by M on each input of length n is at most f -LRB- n -RRB- .A decision problem A can be solved in time f -LRB- n -RRB- if there exists a Turing machine operating in time f -LRB- n -RRB- that solves the problem .","A Turing machine M is said to operate within time f -LRB- n -RRB- ,","how can a turing machine operate within time ?
",211,277
66,"A Turing machine M is said to operate within time f -LRB- n -RRB- , if the time required by M on each input of length n is at most f -LRB- n -RRB- .A decision problem A can be solved in time f -LRB- n -RRB- if there exists a Turing machine operating in time f -LRB- n -RRB- that solves the problem .Since complexity theory is interested in classifying problems based on their difficulty , one defines sets of problems based on some criteria .",there exists a Turing machine operating in time f -LRB- n -RRB- that solves the problem .,"how can a decision problem be solved in time ?
",210,298
67,"A Turing machine M is said to operate within time f -LRB- n -RRB- , if the time required by M on each input of length n is at most f -LRB- n -RRB- .A decision problem A can be solved in time f -LRB- n -RRB- if there exists a Turing machine operating in time f -LRB- n -RRB- that solves the problem .Since complexity theory is interested in classifying problems based on their difficulty , one defines sets of problems based on some criteria .",A decision problem A can be solved in time f -LRB- n -RRB-,"how can a decision problem be solved in time ?
",148,205
68,"A decision problem A can be solved in time f -LRB- n -RRB- if there exists a Turing machine operating in time f -LRB- n -RRB- that solves the problem .Since complexity theory is interested in classifying problems based on their difficulty , one defines sets of problems based on some criteria .For instance , the set of problems solvable within time f -LRB- n -RRB- on a deterministic Turing machine is then denoted by DTIME -LRB- f -LRB- n -RRB- -RRB- .",complexity theory is interested in classifying problems based on their difficulty,"why does complexity theory define sets of problems based on criteria ?
",157,237
