,Unnamed: 0,context,answer,question,start_idx,end_idx,predicted_answer,score
28,28,"The core consists of high areas of income and profit; the periphery is on the opposing side of the spectrum consisting of areas of low income and profit. These critical theories of Geo-politics have led to increased discussion of the meaning and impact of imperialism on the modern post-colonial world. The Russian leader Lenin suggested that ""imperialism was the highest form of capitalism, claiming that imperialism developed after colonialism, and was distinguished from colonialism by monopoly capitalism"".",These critical theories of Geo-politics,"what has led to increased discussion of the meaning and impact of imperialism on the modern post - colonial world ?
",154,192,critical theories of geo - politics,0.6
29,29,"The core consists of high areas of income and profit; the periphery is on the opposing side of the spectrum consisting of areas of low income and profit. These critical theories of Geo-politics have led to increased discussion of the meaning and impact of imperialism on the modern post-colonial world. The Russian leader Lenin suggested that ""imperialism was the highest form of capitalism, claiming that imperialism developed after colonialism, and was distinguished from colonialism by monopoly capitalism"".",increased discussion of the meaning and impact of imperialism on the modern post-colonial world,"what have these critical theories of geo - politics led to ?
",206,300,increased discussion of the meaning and impact of imperialism on the modern post - colonial world,0.8799999999999999
30,30,"Only in 1918 did it regain independence from the foreign rule and emerge as a new capital of the independent Republic of Poland. The German invasion in 1939, the massacre of the Jewish population and deportations to concentration camps led to the uprising in the Warsaw ghetto in 1943 and to the major and devastating Warsaw Uprising between August and October 1944. Warsaw gained the title of the ""Phoenix City"" because it has survived many wars, conflicts and invasions throughout its long history.","The German invasion in 1939, the massacre of the Jewish population and deportations to concentration camps","what caused the uprising in the warsaw ghetto ?
",129,234,"the german invasion in 1939 , the massacre of the jewish population and deportations to concentration camps",1.0
31,31,"Only in 1918 did it regain independence from the foreign rule and emerge as a new capital of the independent Republic of Poland. The German invasion in 1939, the massacre of the Jewish population and deportations to concentration camps led to the uprising in the Warsaw ghetto in 1943 and to the major and devastating Warsaw Uprising between August and October 1944. Warsaw gained the title of the ""Phoenix City"" because it has survived many wars, conflicts and invasions throughout its long history.",the uprising in the Warsaw ghetto in 1943 and to the major and devastating Warsaw Uprising between August and October 1944,"what happened after the german invasion ?
",243,364,,0.0
32,32,"Monckton 's forces, including companies of Rogers ' Rangers, forcibly removed thousands of Acadians, chasing down many who resisted, and sometimes committing atrocities. More than any other factor, the cutting off of supplies to Louisbourg led to its demise. The Acadian resistance, in concert with native allies, including the Mi ` kmaq, was sometimes quite stiff, with ongoing frontier raids (against Dartmouth and Lunenburg among others).",the cutting off of supplies to Louisbourg,"what caused the demise of the acadian resistance ?
",198,238,the cutting off of supplies to louisbourg,1.0
33,33,"Monckton 's forces, including companies of Rogers ' Rangers, forcibly removed thousands of Acadians, chasing down many who resisted, and sometimes committing atrocities. More than any other factor, the cutting off of supplies to Louisbourg led to its demise. The Acadian resistance, in concert with native allies, including the Mi ` kmaq, was sometimes quite stiff, with ongoing frontier raids (against Dartmouth and Lunenburg among others).",its demise,"what did the cutting off of supplies to louisbourg cause ?
",247,256,led to its demise,0.6666666666666666
34,34," The British failures in North America, combined with other failures in the European theater, led to the fall from power of Newcastle and his principal military advisor, the Duke of Cumberland. Newcastle and Pitt joined in an uneasy coalition in which Pitt dominated the military planning.",other failures in the European theater,"what caused the fall of newcastle and the duke of cumberland ?
",54,91,"the british failures in north america , combined with other failures in the european theater",0.5882352941176471
35,35," The British failures in North America, combined with other failures in the European theater, led to the fall from power of Newcastle and his principal military advisor, the Duke of Cumberland. Newcastle and Pitt joined in an uneasy coalition in which Pitt dominated the military planning.","the fall from power of Newcastle and his principal military advisor, the Duke of Cumberland","what happened as a result of the british failures in north america ?
",101,191,"led to the fall from power of newcastle and his principal military advisor , the duke of cumberland",0.9285714285714286
36,36,"Michael Faraday and James Clerk Maxwell demonstrated that electric and magnetic forces were unified through one consistent theory of electromagnetism. In the 20th century, the development of quantum mechanics led to a modern understanding that the first three fundamental forces (all except gravity) are manifestations of matter (fermions) interacting by exchanging virtual particles called gauge bosons. This standard model of particle physics posits a similarity between the forces and led scientists to predict the unification of the weak and electromagnetic forces in electroweak theory subsequently confirmed by observation.",the development of quantum mechanics,"what led to a modern understanding of the first three fundamental forces ?
",172,207,the development of quantum mechanics led to a modern understanding that the first three fundamental forces ( all except gravity ) are manifestations of matter ( fermions ) interacting by exchanging virtual particles called gauge bosons,0.2424242424242424
37,37,"Michael Faraday and James Clerk Maxwell demonstrated that electric and magnetic forces were unified through one consistent theory of electromagnetism. In the 20th century, the development of quantum mechanics led to a modern understanding that the first three fundamental forces (all except gravity) are manifestations of matter (fermions) interacting by exchanging virtual particles called gauge bosons. This standard model of particle physics posits a similarity between the forces and led scientists to predict the unification of the weak and electromagnetic forces in electroweak theory subsequently confirmed by observation.",a modern understanding that the first three fundamental forces (all except gravity) are manifestations of matter (fermions) interacting by exchanging virtual particles called gauge bosons,"what happened with the development of quantum mechanics ?
",216,402,"in the 20th century , the development of quantum mechanics led to a modern understanding that the first three fundamental forces ( all except gravity ) are manifestations of matter ( fermions ) interacting by exchanging virtual particles called gauge bosons",0.8363636363636363
38,38,"Most Norman knights remained poor and land-hungry, and by 1066 Normandy had been exporting fighting horsemen for more than a generation. Many Normans of Italy, France and England eventually served as avid Crusaders under the Italo-Norman prince Bohemund I and the Anglo-Norman king Richard the Lion-Heart. ",avid Crusaders under the Italo-Norman prince Bohemund I and the Anglo-Norman king Richard the Lion-Heart,"why did many normans of italy , france and england serve ?
",200,303,as avid crusaders under the italo - norman prince bohemund i and the anglo - norman king richard the lion - heart,0.6428571428571429
39,39,"Most Norman knights remained poor and land-hungry, and by 1066 Normandy had been exporting fighting horsemen for more than a generation. Many Normans of Italy, France and England eventually served as avid Crusaders under the Italo-Norman prince Bohemund I and the Anglo-Norman king Richard the Lion-Heart. ","Many Normans of Italy, France and England eventually served","what happened to the normans who served as avid crusaders under prince bohemund i and king richard the lion - heart ?
",137,195,"many normans of italy , france and england eventually served as avid crusaders under the italo - norman prince bohemund i and the anglo - norman king richard the lion - heart",0.5294117647058824
40,40,"There is debate whether the Normans in Greek service actually were from Norman Italy, and it now seems likely only a few came from there. It is also unknown how many of the ""Franks"", as the Byzantines called them, were Normans and not other Frenchmen. ","the Byzantines called them, were Normans and not other Frenchmen","why is it unknown how many of the "" franks "" were norman ?
",186,249,"debate whether the normans in greek service actually were from norman italy , and it now seems likely only a few came from there . it is also unknown how many of the "" franks "" , as the byzantines called them , were normans and not other frenchmen",0.375
41,41,"There is debate whether the Normans in Greek service actually were from Norman Italy, and it now seems likely only a few came from there. It is also unknown how many of the ""Franks"", as the Byzantines called them, were Normans and not other Frenchmen. ","It is also unknown how many of the ""Franks","why did the byzantines call them normans and not frenchmen ?
",138,179,,0.0
42,42,"Several families of Byzantine Greece were of Norman mercenary origin during the period of the Comnenian Restoration, when Byzantine emperors were seeking out western European warriors. The Raoulii were descended from an Italo-Norman named Raoul, the Petraliphae were descended from a Pierre d'Aulps, and that group of Albanian clans known as the Maniakates were descended from Normans who served under George Maniaces in the Sicilian expedition of 1038. ",the Maniakates were descended from Normans who served under George Maniaces in the Sicilian expedition of 1038,"why were the maniakates descended from normans ?
",342,451,,0.0
43,43,"Several families of Byzantine Greece were of Norman mercenary origin during the period of the Comnenian Restoration, when Byzantine emperors were seeking out western European warriors. The Raoulii were descended from an Italo-Norman named Raoul, the Petraliphae were descended from a Pierre d'Aulps, and that group of Albanian clans known as the Maniakates were descended from Normans who served under George Maniaces in the Sicilian expedition of 1038. ",group of Albanian clans known,"what were the maniakates ?
",309,337,descended from normans who served under george maniaces in the sicilian expedition of 1038,0.1111111111111111
44,44," Robert Guiscard, an other Norman adventurer previously elevated to the dignity of count of Apulia as the result of his military successes, ultimately drove the Byzantines out of southern Italy. Having obtained the consent of pope Gregory VII and acting as his vassal, Robert continued his campaign conquering the Balkan peninsula as a foothold for western feudal lords and the Catholic Church.","the result of his military successes, ultimately drove the Byzantines out of southern Italy","why was robert guiscard elevated to count of apulia ?
",102,192,as the result of his military successes,0.5555555555555556
45,45," Robert Guiscard, an other Norman adventurer previously elevated to the dignity of count of Apulia as the result of his military successes, ultimately drove the Byzantines out of southern Italy. Having obtained the consent of pope Gregory VII and acting as his vassal, Robert continued his campaign conquering the Balkan peninsula as a foothold for western feudal lords and the Catholic Church.","Robert Guiscard, an other Norman adventurer previously elevated to the dignity of count of Apulia","who drove the byzantines out of southern italy ?
",1,97,robert guiscard,0.2666666666666667
46,46,"'' The Normans settled mostly in an area in the east of Ireland, later known as the Pale, and also built many fine castles and settlements, including Trim Castle and Dublin Castle. Both cultures intermixed, borrowing from each other 's language, culture and outlook.","the Pale, and also built many fine castles and settlements, including Trim Castle and","why did the normans settle in the east of ireland ?
",80,164,"both cultures intermixed , borrowing from each other ' s language , culture and outlook . [SEP] why",0.07407407407407408
47,47,"'' The Normans settled mostly in an area in the east of Ireland, later known as the Pale, and also built many fine castles and settlements, including Trim Castle and Dublin Castle. Both cultures intermixed, borrowing from each other 's language, culture and outlook.","The Normans settled mostly in an area in the east of Ireland, later known","why did the normans settle in ireland ?
",3,75,"both cultures intermixed , borrowing from each other ' s language , culture and outlook . [SEP] why",0.0
48,48,"A computational problem can be viewed as an infinite collection of instances together with a solution for every instance. The input string for a computational problem is referred to as a problem instance, and should not be confused with the problem itself. In computational complexity theory, a problem refers to the abstract question to be solved.","a problem instance, and should not be confused with the problem","what is the input string for a computational problem referred to as ?
",185,247,a problem instance,0.3636363636363636
49,49,"A computational problem can be viewed as an infinite collection of instances together with a solution for every instance. The input string for a computational problem is referred to as a problem instance, and should not be confused with the problem itself. In computational complexity theory, a problem refers to the abstract question to be solved.",The input string for a computational problem is referred to,"what is a problem instance ?
",122,180,the input string,0.4
50,50,"Usually, the alphabet is taken to be the binary alphabet (i.e., the set-LCB-0,1-RCB-), and thus the strings are bitstrings. As in a real-world computer, mathematical objects other than bitstrings must be suitably encoded. For example, integers can be represented in binary notation, and graphs can be encoded directly via their adjacency matrices, or by encoding their adjacency lists in binary.",in a real-world computer,"why must mathematical objects other than bitstrings be suitably encoded ?
",127,150,as in a real - world computer,0.5
51,51,"Usually, the alphabet is taken to be the binary alphabet (i.e., the set-LCB-0,1-RCB-), and thus the strings are bitstrings. As in a real-world computer, mathematical objects other than bitstrings must be suitably encoded. For example, integers can be represented in binary notation, and graphs can be encoded directly via their adjacency matrices, or by encoding their adjacency lists in binary.",mathematical objects other than bitstrings must be suitably encoded,"what happens in a real - world computer ?
",153,219,mathematical objects other than bitstrings must be suitably encoded,1.0
52,52,"Furthermore, it is known that everything that can be computed on other models of computation known to us today, such as a RAM machine, Conway 's Game of Life, cellular automata or any programming language can be computed on a Turing machine. Since Turing machines are easy to analyze mathematically, and are believed to be as powerful as any other model of computation, the Turing machine is the most commonly used model in complexity theory. ","powerful as any other model of computation, the Turing machine is the most commonly used model in complexity theory","why are turing machines so popular in complexity theory ?
",326,440,"since turing machines are easy to analyze mathematically , and are believed to be as powerful as any other model of computation",0.42105263157894735
53,53,"Furthermore, it is known that everything that can be computed on other models of computation known to us today, such as a RAM machine, Conway 's Game of Life, cellular automata or any programming language can be computed on a Turing machine. Since Turing machines are easy to analyze mathematically, and are believed to be as powerful as any other model of computation, the Turing machine is the most commonly used model in complexity theory. ",and are believed to be,"are turing machines as powerful as any other model of computation ?
",300,321,,0.0
54,54, The complexity class P is often seen as a mathematical abstraction modeling those computational tasks that admit an efficient algorithm. This hypothesis is called the Cobham--Edmonds thesis.,a mathematical abstraction modeling those computational tasks that admit an efficient,"what is the complexity class p often seen as ?
",41,125,a mathematical abstraction modeling those computational tasks that admit an efficient algorithm,0.9473684210526316
55,55, The complexity class P is often seen as a mathematical abstraction modeling those computational tasks that admit an efficient algorithm. This hypothesis is called the Cobham--Edmonds thesis.,The complexity class P is often seen,"what happens as a mathematical abstraction modeling those computational tasks that admit an efficient algorithm ?
",1,36,the complexity class p,0.6666666666666666
56,56,"The integer factorization problem is the computational problem of determining the prime factorization of a given integer. Phrased as a decision problem, it is the problem of deciding whether the input has a factor less than k. No efficient integer factorization algorithm is known, and this fact forms the basis of several modern cryptographic systems, such as the RSA algorithm.","a decision problem, it is the problem of deciding whether the input has a factor less than k","what is the integer factorization problem phrased as ?
",133,224,a decision problem,0.25
57,57,"The integer factorization problem is the computational problem of determining the prime factorization of a given integer. Phrased as a decision problem, it is the problem of deciding whether the input has a factor less than k. No efficient integer factorization algorithm is known, and this fact forms the basis of several modern cryptographic systems, such as the RSA algorithm.",The integer factorization problem is the computational problem of determining the prime factorization of a given integer. Phrased,"what happens when the input has a factor less than k ?
",0,128,what,0.0
58,58,"Southern California, often abbreviated SoCal, is a geographic and cultural region that generally comprises California 's southernmost 10 counties. The region is traditionally described as ""eight counties"", based on demographics and economic ties: Imperial, Los Angeles, Orange, Riverside, San Bernardino, San Diego, Santa Barbara, and Ventura. The more extensive 10-county definition, including Kern and San Luis Obispo counties, is also used based on historical political divisions.","eight counties"", based on demographics and economic ties: Imperial, Los Angeles, Orange, Riverside","what is the traditional definition of southern california ?
",189,286,""" eight counties """,0.2666666666666667
59,59,"Southern California, often abbreviated SoCal, is a geographic and cultural region that generally comprises California 's southernmost 10 counties. The region is traditionally described as ""eight counties"", based on demographics and economic ties: Imperial, Los Angeles, Orange, Riverside, San Bernardino, San Diego, Santa Barbara, and Ventura. The more extensive 10-county definition, including Kern and San Luis Obispo counties, is also used based on historical political divisions.",The region is traditionally described,"why is the region known as "" eight counties "" ?
",147,183,based on demographics and economic ties,0.0
60,60,"Following the acquisition of California by the United States, the division continued as part of the attempt by several pro-slavery politicians to arrange the division of Alta California at 36 degrees, 30 minutes, the line of the Missouri Compromise. Instead, the passing of the Compromise of 1850 enabled California to be admitted to the Union as a free state, preventing southern California from becoming its own separate slave state. ","a free state, preventing southern California from becoming its own separate slave state","why was the compromise of 1850 passed ?
",347,433,"enabled california to be admitted to the union as a free state , preventing southern california from becoming its own separate slave state",0.7499999999999999
61,61,"Following the acquisition of California by the United States, the division continued as part of the attempt by several pro-slavery politicians to arrange the division of Alta California at 36 degrees, 30 minutes, the line of the Missouri Compromise. Instead, the passing of the Compromise of 1850 enabled California to be admitted to the Union as a free state, preventing southern California from becoming its own separate slave state. ","Instead, the passing of the Compromise of 1850 enabled California to be admitted to the Union","why did the division of alta california end ?
",250,342,,0.0
62,62,"To the east, the United States Census Bureau considers the San Bernardino and Riverside County areas, Riverside-San Bernardino area as a separate metropolitan area from Los Angeles County. While many commute to L.A. and Orange Counties, there are some differences in development, as most of San Bernardino and Riverside Counties (the non-desert portions) were developed in the 1980s and 1990s. Newly developed exurbs formed in the Antelope Valley north of Los Angeles, the Victor Valley and the Coachella Valley with the Imperial Valley.",most of San Bernardino and Riverside Counties (the non-desert portions) were developed in the 1980s and 1990s,"why are there some differences in development between san bernardino and riverside counties ?
",283,391,as most of san bernardino and riverside counties ( the non - desert portions ) were developed in the 1980s and 1990s,0.8749999999999999
63,63,"To the east, the United States Census Bureau considers the San Bernardino and Riverside County areas, Riverside-San Bernardino area as a separate metropolitan area from Los Angeles County. While many commute to L.A. and Orange Counties, there are some differences in development, as most of San Bernardino and Riverside Counties (the non-desert portions) were developed in the 1980s and 1990s. Newly developed exurbs formed in the Antelope Valley north of Los Angeles, the Victor Valley and the Coachella Valley with the Imperial Valley.","While many commute to L.A. and Orange Counties, there are some differences in development","why is the riverside - san bernardino area considered a separate metropolitan area from los angeles county ?
",189,277,why,0.0
64,64,"Serious rain can occur unusually. In the summers, temperature ranges are 90-60 's while as winters are 70-50 's, usually all of Southern California have Mediterranean climate. But snow is very rare in the Southwest of the state, it occurs on the Southeast of the state.","winters are 70-50 's, usually all of Southern California have Mediterranean climate","why are temperature ranges 90 - 60 ' s in the winter ?
",91,173,,0.0
65,65,"Serious rain can occur unusually. In the summers, temperature ranges are 90-60 's while as winters are 70-50 's, usually all of Southern California have Mediterranean climate. But snow is very rare in the Southwest of the state, it occurs on the Southeast of the state.","In the summers, temperature ranges are 90-60 's while","why can serious rain occur unusually ?
",34,86,why,0.0
66,66,"Southern California is divided culturally, politically, and economically into distinctive regions, each containing its own culture and atmosphere, anchored usually by a city with both national and sometimes global recognition, which are often the hub of economic activity for its respective region and being home to many tourist destinations. Each region is further divided into many culturally distinct areas but as a whole combine to create the southern California atmosphere. ",a whole combine to create the southern California atmosphere,"why is southern california divided into many culturally distinct areas ?
",417,476,to create the southern california atmosphere,0.8333333333333333
67,67,"Southern California is divided culturally, politically, and economically into distinctive regions, each containing its own culture and atmosphere, anchored usually by a city with both national and sometimes global recognition, which are often the hub of economic activity for its respective region and being home to many tourist destinations. Each region is further divided into many culturally distinct areas but as a whole combine to create the southern California atmosphere. ",Each region is further divided into many culturally distinct areas but,"why does the southern california atmosphere combine ?
",343,412,to create the southern california atmosphere,0.0
