,Pattern_id,Text,Cause,Effect,cause_question,effect_question
10,0,"He ordered Isaac to release the prisoners and the treasure .Isaac refused , so Richard landed his troops and took Limassol .Various princes of the Holy Land arrived in Limassol at the same time , in particular Guy de Lusignan .",Isaac refused,Richard landed his troops and took Limassol .,"did isaac release the prisoners or treasure ?
","what happened after isaac refused to release the prisoners ?
"
11,76,"Richard then proceeded to conquer the whole island , his troops being led by Guy de Lusignan .Isaac surrendered and was confined with silver chains , because Richard had promised that he would not place him in irons .By 1 June , Richard had conquered the whole island .",Richard had promised that he would not place him in irons .,Isaac surrendered and was confined with silver chains,"why was isaac confined with silver chains ?
","what did richard do to isaac ?
"
12,17,Finally should be noted the intercourse between French Crusaders traveling to the Holy Land who brought with them French artefacts with which to gift the churches at which they stopped in southern Italy amongst their Norman cousins .For this reason many south Italian churches preserve works from France alongside their native pieces .Normandy was the site of several important developments in the history of classical music in the 11th century .,Finally should be noted the intercourse between French Crusaders traveling to the Holy Land who brought with them French artefacts with which to gift the churches at which they stopped in southern Italy amongst their Norman cousins,many south Italian churches preserve works from France alongside their native pieces .,"what did the crusaders bring with them to the holy land
","what do many south italian churches preserve ?
"
13,56,"There they continued the tradition of singing .Computational complexity theory is a branch of the theory of computation in theoretical computer science that focuses on classifying computational problems according to their inherent difficulty , and relating those classes to each other .A computational problem is understood to be a task that is in principle amenable to being solved by a computer , which is equivalent to stating that the problem may be solved by mechanical application of mathematical steps , such as an algorithm .",their inherent difficulty,and relating those classes to each other .,"what does computational complexity theory classify computational problems according to ?
","what is the goal of computational complexity theory ?
"
14,14,"A computational problem is understood to be a task that is in principle amenable to being solved by a computer , which is equivalent to stating that the problem may be solved by mechanical application of mathematical steps , such as an algorithm .A problem is regarded as inherently difficult if its solution requires significant resources , whatever the algorithm used .The theory formalizes this intuition , by introducing mathematical models of computation to study these problems and quantifying the amount of resources needed to solve them , such as time and storage .","its solution requires significant resources , whatever the algorithm used .",A problem is regarded as inherently difficult,"what makes a computational problem inherently difficult ?
","what happens if the solution of a computational problem requires significant resources ?
"
15,68,"A problem is regarded as inherently difficult if its solution requires significant resources , whatever the algorithm used .The theory formalizes this intuition , by introducing mathematical models of computation to study these problems and quantifying the amount of resources needed to solve them , such as time and storage .Other complexity measures are also used , such as the amount of communication -LRB- used in communication complexity -RRB- , the number of gates in a circuit -LRB- used in circuit complexity -RRB- and the number of processors -LRB- used in parallel computing -RRB- .","introducing mathematical models of computation to study these problems and quantifying the amount of resources needed to solve them , such as time and storage","The theory formalizes this intuition ,","how does the theory formalize this intuition ?
","what happens when mathematical models of computation are used to study a problem ?
"
16,80,"A computational problem can be viewed as an infinite collection of instances together with a solution for every instance .The input string for a computational problem is referred to as a problem instance , and should not be confused with the problem itself .In computational complexity theory , a problem refers to the abstract question to be solved .","a problem instance , and should not be confused with the problem",The input string for a computational problem is referred to,"what is the input string for a computational problem referred to as ?
","what is a problem instance ?
"
17,14,"g .15 -RRB- and the solution is `` yes '' if the number is prime and `` no '' otherwise -LRB- in this case `` no '' -RRB- .Stated another way , the instance is a particular input to the problem , and the solution is the output corresponding to the given input .",the number is prime and `` no '' otherwise -LRB- in this case `` no '' -RRB- .,15 -RRB- and the solution is `` yes '',"the solution is ` ` yes ' ' if what ?
","if the number is prime , what is the solution to the problem ?
"
18,44,"To further highlight the difference between a problem and an instance , consider the following instance of the decision version of the traveling salesman problem : Is there a route of at most 2000 kilometres passing through all of Germany 's 15 largest cities .The quantitative answer to this particular problem instance is of little use for solving other instances of the problem , such as asking for a round trip through all sites in Milan whose total length is at most 10 km .For this reason , complexity theory addresses computational problems and not particular problem instances .","solving other instances of the problem , such as asking for a round trip through all sites in Milan whose total length is at most 10 km",The quantitative answer to this particular problem instance is of little use,"what is the quantitative answer to the traveling salesman problem little used for ?
","is there a quantitative answer to the traveling salesman problem ?
"
19,17,"The quantitative answer to this particular problem instance is of little use for solving other instances of the problem , such as asking for a round trip through all sites in Milan whose total length is at most 10 km .For this reason , complexity theory addresses computational problems and not particular problem instances .When considering computational problems , a problem instance is a string over an alphabet .","The quantitative answer to this particular problem instance is of little use for solving other instances of the problem , such as asking for a round trip through all sites in Milan whose total length is at most 10 km",complexity theory addresses computational problems and not particular problem instances .,"what is the quantitative answer to the milan problem ?
","what is the purpose of complexity theory ?
"
20,80,", the set -LCB- 0,1 -RCB- -RRB- , and thus the strings are bitstrings .As in a real-world computer , mathematical objects other than bitstrings must be suitably encoded .For example , integers can be represented in binary notation , and graphs can be encoded directly via their adjacency matrices , or by encoding their adjacency lists in binary .","in a real-world computer , mathematical objects other than bitstrings must be suitably encoded .",", the set -LCB- 0,1 -RCB- -RRB- , and thus the strings are bitstrings .","are mathematical objects other than bitstrings allowed in a computer ?
","what are bitstrings ?
"
21,68,"As in a real-world computer , mathematical objects other than bitstrings must be suitably encoded .For example , integers can be represented in binary notation , and graphs can be encoded directly via their adjacency matrices , or by encoding their adjacency lists in binary .Decision problems are one of the central objects of study in computational complexity theory .",encoding their adjacency lists in binary,"graphs can be encoded directly via their adjacency matrices , or","how can graphs be encoded ?
","how can graphs be encoded ?
"
22,15,"The objective is to decide , with the aid of an algorithm , whether a given input string is a member of the formal language under consideration .If the algorithm deciding this problem returns the answer yes , the algorithm is said to accept the input string , otherwise it is said to reject the input .An example of a decision problem is the following .",the algorithm deciding this problem returns the answer yes,"the algorithm is said to accept the input string , otherwise it is said to reject the input","how is the algorithm said to accept the input string ?
","what happens if the algorithm decides the answer yes ?
"
23,2,"In particular , larger instances will require more time to solve .Thus the time required to solve a problem -LRB- or the space required , or any measure of complexity -RRB- is calculated as a function of the size of the instance .This is usually taken to be the size of the input in bits .","In particular , larger instances will require more time to solve","the time required to solve a problem -LRB- or the space required , or any measure of complexity -RRB- is calculated as a function of the size of the instance .","why will larger instances require more time to solve ?
","what is calculated as a function of the size of the instance ?
"
24,15,"For instance , in the problem of finding whether a graph is connected , how much more time does it take to solve a problem for a graph with 2n vertices compared to the time taken for a graph with n vertices .If the input size is n , the time taken can be expressed as a function of n .Since the time taken on different inputs of the same size can be different , the worst-case time complexity T -LRB- n -RRB- is defined to be the maximum time taken over all inputs of size n .",the input size is n,the time taken can be expressed as a function of n .,"when can the time taken be expressed as a function of n ?
","what happens if the input size is n ?
"
25,15,"Since the time taken on different inputs of the same size can be different , the worst-case time complexity T -LRB- n -RRB- is defined to be the maximum time taken over all inputs of size n .If T -LRB- n -RRB- is a polynomial in n , then the algorithm is said to be a polynomial time algorithm .Cobham 's thesis says that a problem can be solved with a feasible amount of resources if it admits a polynomial time algorithm .",T -LRB- n -RRB- is a polynomial in n,then the algorithm is said to be a polynomial time algorithm .,"what is said to be a polynomial time algorithm ?
","what happens if t - lrb - n - rrb - is a polynomial in n ?
"
26,14,"If T -LRB- n -RRB- is a polynomial in n , then the algorithm is said to be a polynomial time algorithm .Cobham 's thesis says that a problem can be solved with a feasible amount of resources if it admits a polynomial time algorithm .A Turing machine is a mathematical model of a general computing machine .",it admits a polynomial time algorithm .,Cobham 's thesis says that a problem can be solved with a feasible amount of resources,"what does cobham ' s thesis say a problem can be solved with a feasible amount of resources ?
","what is cobham ' s thesis ?
"
27,15,"Turing machines are not intended as a practical computing technology , but rather as a thought experiment representing a computing machine -- anything from an advanced supercomputer to a mathematician with a pencil and paper .It is believed that if a problem can be solved by an algorithm , there exists a Turing machine that solves the problem .Indeed , this is the statement of the Church -- Turing thesis .",a problem can be solved by an algorithm,there exists a Turing machine that solves the problem .,"what is it believed that there is a turing machine that solves a problem ?
","what is believed to happen if a problem can be solved by an algorithm ?
"
28,78,"Furthermore , it is known that everything that can be computed on other models of computation known to us today , such as a RAM machine , Conway 's Game of Life , cellular automata or any programming language can be computed on a Turing machine .Since Turing machines are easy to analyze mathematically , and are believed to be as powerful as any other model of computation , the Turing machine is the most commonly used model in complexity theory .A deterministic Turing machine is the most basic Turing machine , which uses a fixed set of rules to determine its future actions .",Turing machines are easy to analyze mathematically,"and are believed to be as powerful as any other model of computation , the Turing machine is the most commonly used model in complexity theory .","why are turing machines the most commonly used model in complexity theory ?
","why is the turing machine the most used model in complexity theory ?
"
29,80,"Furthermore , it is known that everything that can be computed on other models of computation known to us today , such as a RAM machine , Conway 's Game of Life , cellular automata or any programming language can be computed on a Turing machine .Since Turing machines are easy to analyze mathematically , and are believed to be as powerful as any other model of computation , the Turing machine is the most commonly used model in complexity theory .A deterministic Turing machine is the most basic Turing machine , which uses a fixed set of rules to determine its future actions .","powerful as any other model of computation , the Turing machine is the most commonly used model in complexity theory .",and are believed to be,"what is the power of a turing machine ?
","are turing machines as powerful as any other model of computation ?
"
30,15,"A non-deterministic Turing machine is a deterministic Turing machine with an added feature of non-determinism , which allows a Turing machine to have multiple possible future actions from a given state .One way to view non-determinism is that the Turing machine branches into many possible computational paths at each step , and if it solves the problem in any of these branches , it is said to have solved the problem .Clearly , this model is not meant to be a physically realizable model , it is just a theoretically interesting abstract machine that gives rise to particularly interesting complexity classes .",it solves the problem in any of these branches,it is said to have solved the problem .,"how is a non - deterministic turing machine said to have solved a problem ?
","what happens if a turing machine solves a problem in any of the possible computational paths ?
"
31,77,"For example , a non-deterministic Turing machine is a computational model that is allowed to branch out to check many different possibilities at once .The non-deterministic Turing machine has very little to do with how we physically want to compute algorithms , but its branching exactly captures many of the mathematical models we want to analyze , so that non-deterministic time is a very important resource in analyzing computational problems .For a precise definition of what it means to solve a problem using a given amount of time and space , a computational model such as the deterministic Turing machine is used .","The non-deterministic Turing machine has very little to do with how we physically want to compute algorithms , but its branching exactly captures many of the mathematical models we want to analyze ,",non-deterministic time is a very important resource in analyzing computational problems .,"why is non - deterministic time an important resource in analyzing computational problems ?
","what is the benefit of using a non - deterministic turing machine ?
"
32,14,"The time required by a deterministic Turing machine M on input x is the total number of state transitions , or steps , the machine makes before it halts and outputs the answer -LRB- `` yes '' or `` no '' -RRB- .A Turing machine M is said to operate within time f -LRB- n -RRB- , if the time required by M on each input of length n is at most f -LRB- n -RRB- .A decision problem A can be solved in time f -LRB- n -RRB- if there exists a Turing machine operating in time f -LRB- n -RRB- that solves the problem .",the time required by M on each input of length n is at most f -LRB- n -RRB- .,"A Turing machine M is said to operate within time f -LRB- n -RRB- ,","how is a turing machine said to operate within time ?
","how can a turing machine operate within time ?
"
33,14,"A Turing machine M is said to operate within time f -LRB- n -RRB- , if the time required by M on each input of length n is at most f -LRB- n -RRB- .A decision problem A can be solved in time f -LRB- n -RRB- if there exists a Turing machine operating in time f -LRB- n -RRB- that solves the problem .Since complexity theory is interested in classifying problems based on their difficulty , one defines sets of problems based on some criteria .",there exists a Turing machine operating in time f -LRB- n -RRB- that solves the problem .,A decision problem A can be solved in time f -LRB- n -RRB-,"how can a decision problem be solved in time ?
","how can a decision problem be solved in time ?
"
34,78,"A decision problem A can be solved in time f -LRB- n -RRB- if there exists a Turing machine operating in time f -LRB- n -RRB- that solves the problem .Since complexity theory is interested in classifying problems based on their difficulty , one defines sets of problems based on some criteria .For instance , the set of problems solvable within time f -LRB- n -RRB- on a deterministic Turing machine is then denoted by DTIME -LRB- f -LRB- n -RRB- -RRB- .",complexity theory is interested in classifying problems based on their difficulty,one defines sets of problems based on some criteria .,"why does complexity theory define sets of problems based on criteria ?
","how does complexity theory classify problems based on their difficulty ?
"
35,48,"A decision problem A can be solved in time f -LRB- n -RRB- if there exists a Turing machine operating in time f -LRB- n -RRB- that solves the problem .Since complexity theory is interested in classifying problems based on their difficulty , one defines sets of problems based on some criteria .For instance , the set of problems solvable within time f -LRB- n -RRB- on a deterministic Turing machine is then denoted by DTIME -LRB- f -LRB- n -RRB- -RRB- .",their difficulty,complexity theory is interested in classifying problems,"complexity theory is interested in classifying problems based on what ?
","why is complexity theory interested in classifying problems ?
"
36,48,"A decision problem A can be solved in time f -LRB- n -RRB- if there exists a Turing machine operating in time f -LRB- n -RRB- that solves the problem .Since complexity theory is interested in classifying problems based on their difficulty , one defines sets of problems based on some criteria .For instance , the set of problems solvable within time f -LRB- n -RRB- on a deterministic Turing machine is then denoted by DTIME -LRB- f -LRB- n -RRB- -RRB- .",some criteria,one defines sets of problems,"what does complexity theory classify problems based on ?
","how does complexity theory classify problems based on their difficulty ?
"
37,15,"The worst-case is when the input is sorted or sorted in reverse order , and the algorithm takes time O -LRB- n2 -RRB- for this case .If we assume that all possible permutations of the input list are equally likely , the average time taken for sorting is O -LRB- n log n -RRB- .The best case occurs when each pivoting divides the list in half , also needing O -LRB- n log n -RRB- time .",we assume that all possible permutations of the input list are equally likely,the average time taken for sorting is O -LRB- n log n -RRB- .,"when is the average time taken for sorting in the worst case ?
","what is the average time taken for sorting if all possible permutations of the input list are equally likely ?
"
38,79,"To show an upper bound T -LRB- n -RRB- on the time complexity of a problem , one needs to show only that there is a particular algorithm with running time at most T -LRB- n -RRB- .However , proving lower bounds is much more difficult , since lower bounds make a statement about all possible algorithms that solve a given problem .The phrase `` all possible algorithms '' includes not just the algorithms known today , but any algorithm that might be discovered in the future .",lower bounds make a statement about all possible algorithms that solve a given problem .,"However , proving lower bounds is much more difficult","why is proving lower bounds much more difficult ?
","is proving lower bounds easier or harder than proving upper bounds ?
"
39,15,"For instance , the language -LCB- xx | x is any binary string -RCB- can be solved in linear time on a multi-tape Turing machine , but necessarily requires quadratic time in the model of single-tape Turing machines .If we allow polynomial variations in running time , Cobham-Edmonds thesis states that `` the time complexities in any two reasonable and general models of computation are polynomially related '' -LRB- Goldreich 2008 , Chapter 1 .2 -RRB- .",we allow polynomial variations in running time,Cobham-Edmonds thesis states that `` the time complexities in any two reasonable and general models of computation are polynomially related '',"what does the cobham - edmonds thesis state that the time complexities in any two reasonable and general models of computation are polynomially related ?
","what does the cobham - edmonds thesis say about running time ?
"
40,68,"The corresponding set of function problems is FP .Many important complexity classes can be defined by bounding the time or space used by the algorithm .Other important complexity classes include BPP , ZPP and RP , which are defined using probabilistic Turing machines ; AC and NC , which are defined using Boolean circuits ; and BQP and QMA , which are defined using quantum Turing machines .",bounding the time or space used by the algorithm,Many important complexity classes can be defined,"how can many important complexity classes be defined ?
","what can be defined by bounding the time or space used by the algorithm ?
"
41,14,"For the complexity classes defined in this way , it is desirable to prove that relaxing the requirements on -LRB- say -RRB- computation time indeed defines a bigger set of problems .In particular , although DTIME -LRB- n -RRB- is contained in DTIME -LRB- n2 -RRB- , it would be interesting to know if the inclusion is strict .For time and space requirements , the answer to such questions is given by the time and space hierarchy theorems respectively .",the inclusion is strict .,"In particular , although DTIME -LRB- n -RRB- is contained in DTIME -LRB- n2 -RRB- , it would be interesting to know","what would be interesting to know about the inclusion of dtime - lrb - n2 - rrb - ?
","what would be interesting to know if the inclusion is strict
"
42,76,"For time and space requirements , the answer to such questions is given by the time and space hierarchy theorems respectively .They are called hierarchy theorems because they induce a proper hierarchy on the classes defined by constraining the respective resources .Thus there are pairs of complexity classes such that one is properly included in the other .",they induce a proper hierarchy on the classes defined by constraining the respective resources .,They are called hierarchy theorems,"why are hierarchy theorems called ?
","what are the time and space hierarchy theorems called ?
"
43,68,"For time and space requirements , the answer to such questions is given by the time and space hierarchy theorems respectively .They are called hierarchy theorems because they induce a proper hierarchy on the classes defined by constraining the respective resources .Thus there are pairs of complexity classes such that one is properly included in the other .",constraining the respective resources,a proper hierarchy on the classes defined,"hierarchy theorems induce a proper hierarchy on the classes defined by what ?
","what do hierarchy theorems induce ?
"
44,2,"They are called hierarchy theorems because they induce a proper hierarchy on the classes defined by constraining the respective resources .Thus there are pairs of complexity classes such that one is properly included in the other .Having deduced such proper set inclusions , we can proceed to make quantitative statements about how much more additional time or space is needed in order to increase the number of problems that can be solved .",They are called hierarchy theorems because they induce a proper hierarchy on the classes defined by constraining the respective resources,there are pairs of complexity classes such that one is properly included in the other .,"why are hierarchy theorems called ?
","what is a hierarchy theorem ?
"
45,81,"Thus there are pairs of complexity classes such that one is properly included in the other .Having deduced such proper set inclusions , we can proceed to make quantitative statements about how much more additional time or space is needed in order to increase the number of problems that can be solved .The time and space hierarchy theorems form the basis for most separation results of complexity classes .",Having deduced such proper set inclusions,we can proceed to make quantitative statements about how much more additional time or space is needed in order to increase the number of problems that can be solved .,"how can we make quantitative statements about how much more time or space is needed ?
","what happens when we deduced proper set inclusions ?
"
46,15,"It captures the informal notion of a problem being at least as difficult as another problem .For instance , if a problem X can be solved using an algorithm for Y , X is no more difficult than Y , and we say that X reduces to Y .There are many different types of reductions , based on the method of reduction , such as Cook reductions , Karp reductions and Levin reductions , and the bound on the complexity of reductions , such as polynomial-time reductions or log-space reductions .",a problem X can be solved using an algorithm for Y,"X is no more difficult than Y , and we","what is an example of a problem being no more difficult than another ?
","what happens if a problem x can be solved using an algorithm for y ?
"
47,47,"For instance , if a problem X can be solved using an algorithm for Y , X is no more difficult than Y , and we say that X reduces to Y .There are many different types of reductions , based on the method of reduction , such as Cook reductions , Karp reductions and Levin reductions , and the bound on the complexity of reductions , such as polynomial-time reductions or log-space reductions .The most commonly used reduction is a polynomial-time reduction .",the method of reduction,"such as Cook reductions , Karp reductions and Levin reductions , and the bound on the complexity of","what are cook reductions , karp reductions and levin reductions based on ?
","what are some types of reductions ?
"
48,94,"For example , the problem of squaring an integer can be reduced to the problem of multiplying two integers .This means an algorithm for multiplying two integers can be used to square an integer .Indeed , this can be done by giving the same input to both inputs of the multiplication algorithm .","For example , the problem of squaring an integer can be reduced to the problem of multiplying two integers",an algorithm for multiplying two integers,"how can the problem of squaring an integer be reduced ?
","what can be used to square an integer ?
"
49,68,"This means an algorithm for multiplying two integers can be used to square an integer .Indeed , this can be done by giving the same input to both inputs of the multiplication algorithm .Thus we see that squaring is not more difficult than multiplication , since squaring can be reduced to multiplication .",giving the same input to both inputs of the multiplication algorithm,"Indeed , this can be done","how can an algorithm be used to square an integer ?
","how can an algorithm for multiplying two integers be used to square an integer ?
"
50,2,"Indeed , this can be done by giving the same input to both inputs of the multiplication algorithm .Thus we see that squaring is not more difficult than multiplication , since squaring can be reduced to multiplication .This motivates the concept of a problem being hard for a complexity class .","Indeed , this can be done by giving the same input to both inputs of the multiplication algorithm","we see that squaring is not more difficult than multiplication , since squaring can be reduced to multiplication .","how can squaring be reduced to multiplication ?
","is squaring more difficult than multiplication ?
"
51,14,"This motivates the concept of a problem being hard for a complexity class .A problem X is hard for a class of problems C if every problem in C can be reduced to X .Thus no problem in C is harder than X , since an algorithm for X allows us to solve any problem in C .",every problem in C can be reduced to X .,problem X is hard for a class of problems C,"how can a problem x be hard for a class of problems c ?
","if every problem in c can be reduced to x , what is it called ?
"
52,2,"A problem X is hard for a class of problems C if every problem in C can be reduced to X .Thus no problem in C is harder than X , since an algorithm for X allows us to solve any problem in C .Of course , the notion of hard problems depends on the type of reduction being used .",A problem X is hard for a class of problems C if every problem in C can be reduced to X,"no problem in C is harder than X , since an algorithm for X allows us to solve any problem in C .","what is a hard problem for a class of problems ?
","is a problem x hard for a class of problems c if every problem can be reduced to x ?
"
53,15,"In particular , the set of problems that are hard for NP is the set of NP-hard problems .If a problem X is in C and hard for C , then X is said to be complete for C .This means that X is the hardest problem in C .",a problem X is in C and hard for C,then X is said to be complete for C .,"what is x said to be complete for c ?
","what happens if a problem x is in c and hard for c ?
"
54,78,"This means that X is the hardest problem in C .-LRB- Since many problems could be equally hard , one might say that X is one of the hardest problems in C .Thus the class of NP-complete problems contains the most difficult problems in NP , in the sense that they are the ones most likely not to be in P .",many problems could be equally hard,one might say that X is one of the hardest problems in C .,"why might x be one of the hardest problems in c ?
","what does lrb stand for ?
"
55,80,"Similarly , because all NP problems can be reduced to the set , finding an NP-complete problem that can be solved in polynomial time would mean that P = NP .The complexity class P is often seen as a mathematical abstraction modeling those computational tasks that admit an efficient algorithm .This hypothesis is called the Cobham -- Edmonds thesis .",a mathematical abstraction modeling those computational tasks that admit an efficient,The complexity class P is often seen,"what is the complexity class p often seen as ?
","what is the cobham - - edmonds thesis ?
"
56,78,"The complexity class NP , on the other hand , contains many problems that people would like to solve efficiently , but for which no efficient algorithm is known , such as the Boolean satisfiability problem , the Hamiltonian path problem and the vertex cover problem .Since deterministic Turing machines are special non-deterministic Turing machines , it is easily observed that each problem in P is also member of the class NP .The question of whether P equals NP is one of the most important open questions in theoretical computer science because of the wide implications of a solution .",deterministic Turing machines are special non-deterministic Turing machines,it is easily observed that each problem in P is also member of the class NP .,"why is it easily observed that each problem in p is also a member of the class np ?
","what is easily observed about deterministic turing machines ?
"
57,29,"Since deterministic Turing machines are special non-deterministic Turing machines , it is easily observed that each problem in P is also member of the class NP .The question of whether P equals NP is one of the most important open questions in theoretical computer science because of the wide implications of a solution .If the answer is yes , many important problems can be shown to have more efficient solutions .",The question of whether P equals NP is one of the most important open questions in theoretical computer science,". If the answer is yes , many important problems can be shown to have more efficient solutions","what is one of the most important questions in theoretical computer science ?
","what happens if p equals np ?
"
58,15,"The question of whether P equals NP is one of the most important open questions in theoretical computer science because of the wide implications of a solution .If the answer is yes , many important problems can be shown to have more efficient solutions .These include various types of integer programming problems in operations research , many problems in logistics , protein structure prediction in biology , and the ability to find formal proofs of pure mathematics theorems .",the answer is yes,many important problems can be shown to have more efficient solutions .,"many important problems can be shown to have more efficient solutions if what ?
","what happens if p equals np ?
"
59,15,"The answer is not known , but it is believed that the problem is at least not NP-complete .If graph isomorphism is NP-complete , the polynomial time hierarchy collapses to its second level .Since it is widely believed that the polynomial hierarchy does not collapse to any finite level , it is believed that graph isomorphism is not NP-complete .",graph isomorphism is NP-complete,the polynomial time hierarchy collapses to its second level .,"the polynomial time hierarchy collapses to its second level if what ?
","what happens if graph isomorphism is np - complete ?
"
