,Unnamed: 0,Unnamed: 0.1,PatternID,Text,Cause,Effect,cause_question,effect_question
18,18,18,86,"Michael Faraday and James Clerk Maxwell demonstrated that electric and magnetic forces were unified through one consistent theory of electromagnetism. In the 20th century, the development of quantum mechanics led to a modern understanding that the first three fundamental forces (all except gravity) are manifestations of matter (fermions) interacting by exchanging virtual particles called gauge bosons. This standard model of particle physics posits a similarity between the forces and led scientists to predict the unification of the weak and electromagnetic forces in electroweak theory subsequently confirmed by observation.",the development of quantum mechanics,a modern understanding that the first three fundamental forces (all except gravity) are manifestations of matter (fermions) interacting by exchanging virtual particles called gauge bosons,"what led to a modern understanding of the first three fundamental forces ?
","what happened with the development of quantum mechanics ?
"
19,19,19,80,"Most Norman knights remained poor and land-hungry, and by 1066 Normandy had been exporting fighting horsemen for more than a generation. Many Normans of Italy, France and England eventually served as avid Crusaders under the Italo-Norman prince Bohemund I and the Anglo-Norman king Richard the Lion-Heart. ",avid Crusaders under the Italo-Norman prince Bohemund I and the Anglo-Norman king Richard the Lion-Heart,"Many Normans of Italy, France and England eventually served","why did many normans of italy , france and england serve as fighting horsemen ?
","what happened to the normans who served the italo - norman prince bohemund i
"
20,20,20,80,"There is debate whether the Normans in Greek service actually were from Norman Italy, and it now seems likely only a few came from there. It is also unknown how many of the ""Franks"", as the Byzantines called them, were Normans and not other Frenchmen. ","the Byzantines called them, were Normans and not other Frenchmen","It is also unknown how many of the ""Franks","why is it unknown how many of the "" franks "" were normans ?
","why did the byzantines call the normans "" franks "" ?
"
21,21,21,80,"Several families of Byzantine Greece were of Norman mercenary origin during the period of the Comnenian Restoration, when Byzantine emperors were seeking out western European warriors. The Raoulii were descended from an Italo-Norman named Raoul, the Petraliphae were descended from a Pierre d'Aulps, and that group of Albanian clans known as the Maniakates were descended from Normans who served under George Maniaces in the Sicilian expedition of 1038. ",the Maniakates were descended from Normans who served under George Maniaces in the Sicilian expedition of 1038,group of Albanian clans known,"why were the maniakates descended from normans ?
","what were the maniakates ?
"
22,22,22,80," Robert Guiscard, an other Norman adventurer previously elevated to the dignity of count of Apulia as the result of his military successes, ultimately drove the Byzantines out of southern Italy. Having obtained the consent of pope Gregory VII and acting as his vassal, Robert continued his campaign conquering the Balkan peninsula as a foothold for western feudal lords and the Catholic Church.","the result of his military successes, ultimately drove the Byzantines out of southern Italy","Robert Guiscard, an other Norman adventurer previously elevated to the dignity of count of Apulia","why was robert guiscard elevated to count of apulia ?
","who drove the byzantines out of southern italy ?
"
23,23,23,80,"'' The Normans settled mostly in an area in the east of Ireland, later known as the Pale, and also built many fine castles and settlements, including Trim Castle and Dublin Castle. Both cultures intermixed, borrowing from each other 's language, culture and outlook.","the Pale, and also built many fine castles and settlements, including Trim Castle and","The Normans settled mostly in an area in the east of Ireland, later known","why did the normans settle in the east of ireland ?
","why did the normans come to ireland ?
"
24,24,24,80,"A computational problem can be viewed as an infinite collection of instances together with a solution for every instance. The input string for a computational problem is referred to as a problem instance, and should not be confused with the problem itself. In computational complexity theory, a problem refers to the abstract question to be solved.","a problem instance, and should not be confused with the problem",The input string for a computational problem is referred to,"what is the input string for a computational problem referred to as ?
","what is a problem instance ?
"
25,25,25,145,"Usually, the alphabet is taken to be the binary alphabet (i.e., the set-LCB-0,1-RCB-), and thus the strings are bitstrings. As in a real-world computer, mathematical objects other than bitstrings must be suitably encoded. For example, integers can be represented in binary notation, and graphs can be encoded directly via their adjacency matrices, or by encoding their adjacency lists in binary.",in a real-world computer,mathematical objects other than bitstrings must be suitably encoded.,"why must mathematical objects other than bitstrings be suitably encoded ?
","what happens in a real - world computer ?
"
26,26,26,80,"Furthermore, it is known that everything that can be computed on other models of computation known to us today, such as a RAM machine, Conway 's Game of Life, cellular automata or any programming language can be computed on a Turing machine. Since Turing machines are easy to analyze mathematically, and are believed to be as powerful as any other model of computation, the Turing machine is the most commonly used model in complexity theory. ","powerful as any other model of computation, the Turing machine is the most commonly used model in complexity theory",and are believed to be,"why is the turing machine so popular ?
","are turing machines as powerful as any other model of computation ?
"
27,27,27,80, The complexity class P is often seen as a mathematical abstraction modeling those computational tasks that admit an efficient algorithm. This hypothesis is called the Cobham--Edmonds thesis.,a mathematical abstraction modeling those computational tasks that admit an efficient,The complexity class P is often seen,"what is the complexity class p often seen as ?
","what is seen as a mathematical abstraction modeling computational tasks that admit an efficient algorithm ?
"
28,28,28,80,"The integer factorization problem is the computational problem of determining the prime factorization of a given integer. Phrased as a decision problem, it is the problem of deciding whether the input has a factor less than k. No efficient integer factorization algorithm is known, and this fact forms the basis of several modern cryptographic systems, such as the RSA algorithm.","a decision problem, it is the problem of deciding whether the input has a factor less than k",The integer factorization problem is the computational problem of determining the prime factorization of a given integer. Phrased,"what is the integer factorization problem phrased as ?
","why is the integer factorization problem a decision problem ?
"
29,29,29,80,"Southern California, often abbreviated SoCal, is a geographic and cultural region that generally comprises California 's southernmost 10 counties. The region is traditionally described as ""eight counties"", based on demographics and economic ties: Imperial, Los Angeles, Orange, Riverside, San Bernardino, San Diego, Santa Barbara, and Ventura. The more extensive 10-county definition, including Kern and San Luis Obispo counties, is also used based on historical political divisions.","eight counties"", based on demographics and economic ties: Imperial, Los Angeles, Orange, Riverside",The region is traditionally described,"what is the region traditionally described as ?
","why is the region known as "" eight counties "" ?
"
30,30,30,80,"Following the acquisition of California by the United States, the division continued as part of the attempt by several pro-slavery politicians to arrange the division of Alta California at 36 degrees, 30 minutes, the line of the Missouri Compromise. Instead, the passing of the Compromise of 1850 enabled California to be admitted to the Union as a free state, preventing southern California from becoming its own separate slave state. ","a free state, preventing southern California from becoming its own separate slave state","Instead, the passing of the Compromise of 1850 enabled California to be admitted to the Union","why did the compromise of 1850 happen ?
","why did the division of alta california end ?
"
31,31,31,80,"To the east, the United States Census Bureau considers the San Bernardino and Riverside County areas, Riverside-San Bernardino area as a separate metropolitan area from Los Angeles County. While many commute to L.A. and Orange Counties, there are some differences in development, as most of San Bernardino and Riverside Counties (the non-desert portions) were developed in the 1980s and 1990s. Newly developed exurbs formed in the Antelope Valley north of Los Angeles, the Victor Valley and the Coachella Valley with the Imperial Valley.",most of San Bernardino and Riverside Counties (the non-desert portions) were developed in the 1980s and 1990s,"While many commute to L.A. and Orange Counties, there are some differences in development","why are there some differences between san bernardino and riverside counties ?
","why is the riverside - san bernardino area considered a separate area from los angeles ?
"
32,32,32,80,"Serious rain can occur unusually. In the summers, temperature ranges are 90-60 's while as winters are 70-50 's, usually all of Southern California have Mediterranean climate. But snow is very rare in the Southwest of the state, it occurs on the Southeast of the state.","winters are 70-50 's, usually all of Southern California have Mediterranean climate","In the summers, temperature ranges are 90-60 's while","why does southern california have a mediterranean climate ?
","why is serious rain unusual in southern california ?
"
33,33,33,80,"Southern California is divided culturally, politically, and economically into distinctive regions, each containing its own culture and atmosphere, anchored usually by a city with both national and sometimes global recognition, which are often the hub of economic activity for its respective region and being home to many tourist destinations. Each region is further divided into many culturally distinct areas but as a whole combine to create the southern California atmosphere. ",a whole combine to create the southern California atmosphere,Each region is further divided into many culturally distinct areas but,"why is southern california divided into many culturally distinct areas ?
","what creates the southern california atmosphere ?
"
34,34,34,80,"As of the 2010 United States Census, southern California has a population of 22,680,010. Despite a reputation for high growth rates, southern California 's rate grew less than the state average of 10.0% in the 2000s as California 's growth became concentrated in the northern part of the state due to a stronger, tech-oriented economy in the Bay Area and an emerging Greater Sacramento region. ","California 's growth became concentrated in the northern part of the state due to a stronger, tech-oriented economy in the Bay Area and an emerging Greater Sacramento region","a reputation for high growth rates, southern California 's rate grew less than the state average of 10.0% in the 2000s","why did southern california ' s rate of growth decrease in the 2000s ?
","why did the population of southern california increase in the 2000s ?
"
35,35,35,80,"Southern California 's economy is diverse and one of the largest in the United States. It is dominated and heavily dependent upon abundance of petroleum, as opposed to other regions where automobiles not nearly as dominant, the vast majority of transport runs on this fuel. Southern California is famous for tourism and Hollywood (film, television, and music).","opposed to other regions where automobiles not nearly as dominant, the vast majority of transport runs on this fuel",It is dominated and heavily dependent upon abundance of petroleum,"why is southern california ' s economy so diverse ?
","why is southern california ' s economy diverse ?
"
36,36,36,80,"BSkyB initially charged additional subscription fees for using a Sky+PVR with their service; waiving the charge for subscribers whose package included two or more premium channels. This changed as from 1 July 2007, and now customers that have Sky+and subscribe to any BSkyB subscription package get Sky+included at no extra charge. Customers that do not subscribe to BSkyB 's channels can still pay a monthly fee to enable Sky+functions.","from 1 July 2007, and now customers that have Sky+and subscribe to any BSkyB subscription package get Sky+included at no extra",This changed,"what happened to the additional subscription fees ?
","what happened on july 1 , 2007 ?
"
37,37,37,80,"Customers that do not subscribe to BSkyB 's channels can still pay a monthly fee to enable Sky+functions. In January 2010 BSkyB discontinued the Sky+Box, limited the standard Sky Box to Multiroom upgrade only and started to issue the Sky+HD Box as standard, thus giving all new subscribers the functions of Sky+. In February 2011 BSkyB discontinued the non-HD variant of its Multiroom box, offering a smaller version of the SkyHD box without Sky+functionality.",standard Sky Box to Multiroom upgrade only and started to issue the Sky+HD Box as standard,"January 2010 BSkyB discontinued the Sky+Box, limited the standard Sky Box to Multiroom upgrade only and started to issue the Sky+HD Box","what happened to the sky + box in january 2010 ?
","what happened to the sky + box in 2010 ?
"
38,38,38,145,"In September 2007, Sky launched a new TV advertising campaign targeting Sky+at women. As of 31 March 2008, Sky had 3,393,000 Sky+users. ",of 31 March 2008,"Sky had 3,393,000 Sky+users.","when did sky have 3 , 393 , 000 sky + users ?
","how many sky + users were there as of 31 march 2008 ?
"
39,39,39,80,"Provided is a universal Ku band LNB (9.75 / 10.600 GHz) which is fitted at the end of the dish and pointed at the correct satellite constellation; most digital receivers will receive the free to air channels. Some broadcasts are free-to-air and unencrypted, some are encrypted but do not require a monthly subscription (known as free-to-view), some are encrypted and require a monthly subscription, and some are pay-per-view services. To view the encrypted content a VideoGuard UK equipped receiver (all of which are dedicated to the Sky service, and cannot be used to decrypt other services) needs to be used.","free-to-view), some are encrypted and require","Some broadcasts are free-to-air and unencrypted, some are encrypted but do not require a monthly subscription (known","why are some free - to - air and unencrypted broadcasts called ?
","what is a free - to - view service ?
"
40,40,40,80,"The BBC was given the highlights of most of the matches, while BSkyB paying # 304m for the Premier League rights, would give them a monopoly of all live matches, up to 60 per year from the 1992 season. Murdoch described sport as a ""battering ram"" for pay-television, providing a strong customer base. A few weeks after the deal, ITV went to the High Court to get an injunction as it believed their bid details had been leaked before the decision was taken.","a ""battering ram"" for pay-television, providing a strong customer base",Murdoch described sport,"why did murdoch want the deal ?
","why was the premier league a strong customer base for pay television ?
"
41,41,41,80,"Murdoch described sport as a ""battering ram"" for pay-television, providing a strong customer base. A few weeks after the deal, ITV went to the High Court to get an injunction as it believed their bid details had been leaked before the decision was taken. ITV also asked the Office of Fair Trading to investigate since it believed Rupert Murdoch 's media empire via its newspapers had influenced the deal.",it believed their bid details had been leaked before the decision was taken,"A few weeks after the deal, ITV went to the High Court to get an injunction","why did itv go to the high court ?
","what happened after itv ' s bid details were leaked ?
"
42,42,42,80," The Daily Mail newspaper reported in 2012 that the UK government 's benefits agency was checking claimants ' ""Sky TV bills to establish if a woman in receipt of benefits as a single mother is wrongly claiming to be living alone""--as, it claimed, subscription to sports channels would betray a man 's presence in the household. In December, the UK 's parliament heard a claim that a subscription to BSkyB was ` often damaging ', along with alcohol, tobacco and gambling.","a single mother is wrongly claiming to be living alone""--as, it claimed, subscription to sports channels would betray a man 's presence in the household","The Daily Mail newspaper reported in 2012 that the UK government 's benefits agency was checking claimants ' ""Sky TV bills to establish if a woman in receipt of benefits","why was the uk government checking sky tv bills in 2012 ?
","why did the daily mail report that the uk government was checking claims ?
"
43,43,43,145,"Currently there is no indication as to whether the new deal includes the additional Video On Demand and High Definition content which had previously been offered by BSkyB. As part of the agreements, both BSkyB and Virgin Media agreed to terminate all High Court proceedings against each other relating to the carriage of their respective basic channels. ",part of the agreements,both BSkyB and Virgin Media agreed to terminate all High Court proceedings against each other relating to the carriage of their respective basic channels.,"why did bskyb and virgin media terminate all high court proceedings against each other ?
","what happened as a result of the agreement ?
"
44,44,44,80,"After the founding of the colony of New South Wales in 1788, Australia was divided into an eastern half named New South Wales and a western half named New Holland, under the administration of the colonial government in Sydney. The first European settlement in the area later known as Victoria was established in October 1803 under Lieutenant-Governor David Collins at Sullivan Bay on Port Phillip. It consisted of 402 people (5 Government officials, 9 officers of marines, 2 drummers, and 39 privates, 5 soldiers ' wives, and a child, 307 convicts, 17 convicts ' wives, and 7 children).",Victoria was established in October 1803 under Lieutenant-Governor David Collins at Sullivan Bay on Port Phillip,"After the founding of the colony of New South Wales in 1788, Australia was divided into an eastern half named New South Wales and a western half named New Holland, under the administration of the colonial government in Sydney. The first European settlement in the area later known","what was the first european settlement in the area later known as victoria ?
","why was australia divided into two halves ?
"
45,45,45,145,"This represented 24% of national agricultural production total gross value. As of 2004, an estimated 32,463 farms occupied around 136,000 square kilometres (52,500 sq mi) of Victorian land. This comprises more than 60% of the state 's total land surface.",of 2004,"an estimated 32,463 farms occupied around 136,000 square kilometres (52,500 sq mi) of Victorian land.","what year were there 32 , 463 farms in victoria ?
","how many farms were in victoria in 2004 ?
"
46,46,46,145,"Huguenot numbers peaked near an estimated two million by 1562, concentrated mainly in the southern and central parts of France, about one-eighth the number of French Catholics. As Huguenots gained influence and more openly displayed their faith, Catholic hostility grew, in spite of increasingly liberal political concessions and edicts of toleration from the French crown. A series of religious conflicts followed, known as the Wars of Religion, fought intermittently from 1562 to 1598.",Huguenots gained influence and more openly displayed their faith,"Catholic hostility grew, in spite of increasingly liberal political concessions and edicts of toleration from the French crown.","why did catholic hostility grow ?
","what happened as huguenots gained influence and more openly displayed their faith ?
"
47,47,47,80,"As Huguenots gained influence and more openly displayed their faith, Catholic hostility grew, in spite of increasingly liberal political concessions and edicts of toleration from the French crown. A series of religious conflicts followed, known as the Wars of Religion, fought intermittently from 1562 to 1598. The wars finally ended with the granting of the Edict of Nantes, which granted the Huguenots substantial religious, political and military autonomy.","the Wars of Religion, fought intermittently from 1562 to 1598","A series of religious conflicts followed, known","what was the name of the series of religious conflicts ?
","what happened during the wars of religion ?
"
48,48,48,80,"They were very successful at marriage and property speculation. After petitioning the British Crown in 1697 for the right to own land in the Baronies, they prospered as slave owners on the Cooper, Ashepoo, Ashley and Santee River plantations they purchased from the British Landgrave Edmund Bellinger. Some of their descendants moved into the Deep South and Texas, where they developed new plantations.","slave owners on the Cooper, Ashepoo, Ashley and Santee River plantations they purchased from the British Landgrave Edmund","After petitioning the British Crown in 1697 for the right to own land in the Baronies, they prospered","why did they prosper ?
","why did they become slave owners ?
"
49,49,49,80,"The Catholic Church in France and many of its members opposed the Huguenots. Some Huguenot preachers and congregants were attacked as they attempted to meet for worship. The height of this persecution was the St. Bartholomew 's Day massacre when 5,000 to 30,000 were killed, although there were also underlying political reasons for this as well, as some of the Huguenots were nobles trying to establish separate centers of power in southern France.",they attempted to meet for worship,Some Huguenot preachers and congregants were attacked,"why were some huguenot preachers and congregants attacked ?
","what happened when the huguenots tried to meet for worship ?
"
50,50,50,80,"By 1620 the Huguenots were on the defensive, and the government increasingly applied pressure. A series of three small civil wars known as the Huguenot rebellions broke out, mainly in southwestern France, between 1621 and 1629. revolted against royal authority.","the Huguenot rebellions broke out, mainly in southwestern France, between 1621 and 1629",three small civil wars known,"what happened during the huguenot rebellions ?
","what were the huguenot rebellions ?
"
51,51,51,80," In this last connection, the name could suggest the derogatory inference of superstitious worship; popular fancy held that Huguon, the gate of King Hugo, was haunted by the ghost of le roi Huguet (regarded by Roman Catholics as an infamous scoundrel) and other spirits, who instead of being in Purgatory came back to harm the living at night. It was in this place in Tours","an infamous scoundrel) and other spirits, who instead of being in Purgatory came back to harm the living at","the derogatory inference of superstitious worship; popular fancy held that Huguon, the gate of King Hugo, was haunted by the ghost of le roi Huguet (regarded by Roman Catholics","why was le roi huguet regarded by roman catholics ?
","why does the name huguon suggest superstitious worship ?
"
52,52,52,80," Other evidence of the Walloons and Huguenots in Canterbury includes a block of houses in Turnagain Lane, where weavers ' windows survive on the top floor, as many Huguenots worked as weavers. The Weavers, a half-timbered house by the river, was the site of a weaving school from the late 16th century to about 1830.",many Huguenots worked as weavers,"Other evidence of the Walloons and Huguenots in Canterbury includes a block of houses in Turnagain Lane, where weavers ' windows survive on the top floor","why do weavers ' windows survive on the top floor of turnagain lane ?
","what is evidence of the walloons and huguenots in canterbury ?
"
53,53,53,80," The exodus of Huguenots from France created a brain drain, as many Huguenots had occupied important places in society. The kingdom did not fully recover for years.",many Huguenots had occupied important places in society,The exodus of Huguenots from France created a brain drain,"why did the exodus of huguenots create a brain drain ?
","why did the kingdom not fully recover ?
"
54,54,54,80,"The pattern of warfare, followed by brief periods of peace, continued for nearly another quarter-century. The warfare was definitively quelled in 1598, when Henry of Navarre, having succeeded to the French throne as Henry IV, and having recanted Protestantism in favour of Roman Catholicism, issued the Edict of Nantes. The Edict reaffirmed Catholicism as the state religion of France, but granted the Protestants equality with Catholics under the throne and a degree of religious and political freedom within their domains.","Henry IV, and having recanted Protestantism in favour of Roman Catholicism, issued the Edict of Nantes","The warfare was definitively quelled in 1598, when Henry of Navarre, having succeeded to the French throne","what happened in 1598 ?
","what happened in 1598
"
55,55,55,80,"The warfare was definitively quelled in 1598, when Henry of Navarre, having succeeded to the French throne as Henry IV, and having recanted Protestantism in favour of Roman Catholicism, issued the Edict of Nantes. The Edict reaffirmed Catholicism as the state religion of France, but granted the Protestants equality with Catholics under the throne and a degree of religious and political freedom within their domains. The Edict simultaneously protected Catholic interests by discouraging the founding of new Protestant churches in Catholic-controlled regions.-LSB-citation needed-RSB-","the state religion of France, but granted the Protestants equality with Catholics under the throne and a degree of religious and political freedom within their domains",The Edict reaffirmed Catholicism,"what happened when the edict of nantes was issued ?
","why was catholicism the state religion of france ?
"
56,56,56,145,"Louise de Coligny, daughter of the murdered Huguenot leader Gaspard de Coligny, married William the Silent, leader of the Dutch (Calvinist) revolt against Spanish (Catholic) rule. As both spoke French in daily life, their court church in the Prinsenhof in Delft held services in French. The practice has continued to the present day.",both spoke French in daily life,their court church in the Prinsenhof in Delft held services in French.,"why did their court church in the prinsenhof hold services in french ?
","what happened when william the silent and louise de coligny married ?
"
57,57,57,80,"The ""Hugues hypothesis"" argues that the name was derived by association with Hugues Capet, king of France, who reigned long before the Reformation. He was regarded by the Gallicans and Protestants as a noble man who respected people 's dignity and lives. Janet Gray and other supporters of the hypothesis suggest that the name huguenote would be roughly equivalent to little Hugos, or those who want Hugo.",a noble man who respected people 's,He was regarded by the Gallicans and Protestants,"why was hugues capet regarded by the gallicans and protestants ?
","why was hugues capet considered a noble man ?
"
58,58,58,80,"The French Confession of 1559 shows a decidedly Calvinistic influence. Sometime between 1550 and 1580, members of the Reformed church in France came to be commonly known as Huguenots.-LSB-citation needed-RSB- ",Huguenots.-LSB-citation needed,"Sometime between 1550 and 1580, members of the Reformed church in France came to be commonly known","what were members of the reformed church in france commonly known as ?
","what happened to the huguenots ?
"
59,59,59,80,"In Wandsworth, their gardening skills benefited the Battersea market gardens. The Old Truman Brewery, then known as the Black Eagle Brewery, was founded in 1724. The flight of Huguenot refugees from Tours, France drew off most of the workers of its great silk mills which they had built.-LSB-citation needed-RSB-Some of these immigrants moved to Norwich, which had accommodated an earlier settlement of Walloon weavers.","the Black Eagle Brewery, was founded in 1724","In Wandsworth, their gardening skills benefited the Battersea market gardens. The Old Truman Brewery, then known","when was the old truman brewery founded ?
","why was the old truman brewery founded ?
"
