,PatternID,Text,Cause,Effect
93,144,"The result indicates that the rainforest could be threatened though the 21st century by climate change in addition to deforestation . As indigenous territories continue to be destroyed by deforestation and ecocide , such as in the Peruvian Amazon indigenous peoples ' rainforest communities continue to disappear , while others , like the Urarina continue to struggle to fight for their cultural survival and the fate of their forested territories . Meanwhile , the relationship between non-human primates in the subsistence and symbolism of indigenous lowland South American peoples has gained increased attention , as have ethno-biology and community-based conservation efforts . ",indigenous territories continue to be destroyed by deforestation and ecocide,"such as in the Peruvian Amazon indigenous peoples ' rainforest communities continue to disappear , while others , like the Urarina continue to struggle to fight for their cultural survival and the fate of their forested territories ."
107,144,"Frame Relay is a modified version of ISDN 's layer two protocol , LAPD and LAPB . As such , its integrity operations pertain only between nodes on a link , not end-to-end . Any retransmissions must be carried out by higher layer protocols . ",such,"its integrity operations pertain only between nodes on a link , not end-to-end ."
111,144,"The plague struck various countries in the Middle East during the pandemic , leading to serious depopulation and permanent change in both economic and social structures . As it spread to western Europe , the disease entered the region from southern Russia also . By autumn 1347 , the plague reached Alexandria in Egypt , probably through the port 's trade with Constantinople , and ports on the Black Sea . ",it spread to western Europe,the disease entered the region from southern Russia also .
112,144,"Symptoms include fever , cough , and blood-tinged sputum . As the disease progresses , sputum becomes free flowing and bright red . Septicemic plague is the least common of the three forms , with a mortality rate near 100 % . ",the disease progresses,sputum becomes free flowing and bright red .
117,144,"The principle of faunal succession is based on the appearance of fossils in sedimentary rocks . As organisms exist at the same time period throughout the world , their presence or -LRB- sometimes -RRB- absence may be used to provide a relative age of the formations in which they are found . Based on principles laid out by William Smith almost a hundred years before the publication of Charles Darwin 's theory of evolution , the principles of succession were developed independently of evolutionary thought . ",organisms exist at the same time period throughout the world,their presence or -LRB- sometimes -RRB- absence may be used to provide a relative age of the formations in which they are found .
125,144,"Pharmacy informaticists work in many practice areas of pharmacy , however , they may also work in information technology departments or for healthcare information technology vendor companies . As a practice area and specialist domain , pharmacy informatics is growing quickly to meet the needs of major national and international patient information projects and health system interoperability goals . Pharmacists in this area are trained to participate in medication management system development , deployment and optimization . ",a practice area and specialist domain,pharmacy informatics is growing quickly to meet the needs of major national and international patient information projects and health system interoperability goals .
133,144,"Cost of construction on a per square meter -LRB- or per square foot -RRB- basis for houses can vary dramatically based on site conditions , local regulations , economies of scale -LRB- custom designed homes are often more expensive to build -RRB- and the availability of skilled tradespeople . As residential construction -LRB- as well as all other types of construction -RRB- can generate a lot of waste , careful planning again is needed here . New techniques of building construction are being researched , made possible by advances in 3D printing technology . ",residential construction -LRB- as well as all other types of construction -RRB- can generate a lot of waste,careful planning again is needed here .
136,144,"Once these have been hired , they begin building the first phase of the project . As they build phase 1 , they design phase 2 . This is in contrast to a design-bid-build contract , where the project is completely designed by the owner , then bid on , then completed . ",they build phase 1,they design phase 2 .
137,144,"In the United States , the industry in 2014 has around $ 960 billion in annual revenue according to statistics tracked by the Census Bureau , of which $ 680 billion is private -LRB- split evenly between residential and nonresidential -RRB- and the remainder is government . As of 2005 , there were about 667,000 firms employing 1 million contractors -LRB- 200,000 general contractors , 38,000 heavy , and 432,000 specialty -RRB- ; the average contractor employed fewer than 10 employees . As a whole , the industry employed an estimated 5 . ",of 2005,"there were about 667,000 firms employing 1 million contractors -LRB- 200,000 general contractors , 38,000 heavy , and 432,000 specialty -RRB- ; the average contractor employed fewer than 10 employees ."
138,144,"As of 2005 , there were about 667,000 firms employing 1 million contractors -LRB- 200,000 general contractors , 38,000 heavy , and 432,000 specialty -RRB- ; the average contractor employed fewer than 10 employees . As a whole , the industry employed an estimated 5 . 8 million as of April 2013 , with a 13 . ",a whole,the industry employed an estimated 5 .
145,144,"Preschool education is mostly limited to organized neighbourhood nursery schools . As of April 2014 , there are 88 private schools in New Zealand , catering for around 28,000 students or 3 . 7 % of the entire student population . ",of April 2014,"there are 88 private schools in New Zealand , catering for around 28,000 students or 3 ."
148,144,"Harvard has the largest university endowment in the world . As of September 2011 -LSB- update -RSB- , it had nearly regained the loss suffered during the 2008 recession . It was worth $ 32 billion in 2011 , up from $ 28 billion in September 2010 and $ 26 billion in 2009 . ",of September 2011 -LSB- update -RSB-,it had nearly regained the loss suffered during the 2008 recession .
149,144,"2 billion Allston Science Complex that had been scheduled to be completed by 2011 , resulting in protests from local residents . As of 2012 -LSB- update -RSB- , Harvard University had a total financial aid reserve of $ 159 million for students , and a Pell Grant reserve of $ 4 . 093 million available for disbursement . ",of 2012 -LSB- update -RSB-,"Harvard University had a total financial aid reserve of $ 159 million for students , and a Pell Grant reserve of $ 4 ."
154,144,"Significant factors in the local economy include services such as banking , insurance , healthcare and logistics . As with much of Florida , tourism is also important to the Jacksonville area , particularly tourism related to golf . People from Jacksonville may be called `` Jacksonvillians '' or `` Jaxsons '' -LRB- also spelled `` Jaxons '' -RRB- . ",with much of Florida,"tourism is also important to the Jacksonville area , particularly tourism related to golf ."
156,144,"Jacksonville is the most populous city in Florida , and the twelfth most populous city in the United States . As of 2010 -LSB- update -RSB- , there were 821,784 people and 366,273 households in the city . Jacksonville has the country 's tenth-largest Arab population , with a total population of 5,751 according to the 2000 United States Census . ",of 2010 -LSB- update -RSB-,"there were 821,784 people and 366,273 households in the city ."
157,144,"Much of Jacksonville 's Filipino community served in or has ties to the United States Navy . As of 2010 -LSB- update -RSB- , there were 366,273 households out of which 11 . 8 % were vacant . ",of 2010 -LSB- update -RSB-,"there were 366,273 households out of which 11 ."
160,144,"According to Kuznets , countries with low levels of development have relatively equal distributions of wealth . As a country develops , it acquires more capital , which leads to the owners of this capital having more wealth and income and introducing inequality . Eventually , through various possible redistribution mechanisms such as social welfare programs , more developed countries move back to lower levels of inequality . ",a country develops,"it acquires more capital , which leads to the owners of this capital having more wealth and income and introducing inequality ."
161,144,"Kuznets ' curve predicts that income inequality will eventually decrease given time . As an example , income inequality did fall in the United States during its High school movement from 1910 to 1940 and thereafter . -LSB- citation needed -RSB- However , recent data shows that the level of income inequality began to rise after the 1970s . ",an example,income inequality did fall in the United States during its High school movement from 1910 to 1940 and thereafter .
167,144,"If there were fewer people however , this multiplier would be lower , and thus the amount of environmental degradation would be lower as well . As such , the current high level of population has a large impact on this as well . If -LRB- as WWF argued -RRB- , population levels would start to drop to a sustainable level -LRB- 1/3 of current levels , so about 2 billion people -RRB- , human inequality can be addressed/corrected , while still not resulting in an increase of environmental damage . ",such,the current high level of population has a large impact on this as well .
171,144,"Directly beneath the President are the Provost , fourteen Vice Presidents -LRB- including the Chief Financial Officer , Chief Investment Officer , and Dean of Students of the university -RRB- , the Directors of Argonne National Laboratory and Fermilab , the Secretary of the university , and the Student Ombudsperson . As of August 2009 -LSB- update -RSB- , the Chairman of the Board of Trustees is Andrew Alper , and the President of the university is Robert Zimmer . In December 2013 it was announced that the Director of Argonne National Laboratory , Eric Isaacs , would become Provost . ",of August 2009 -LSB- update -RSB-,"the Chairman of the Board of Trustees is Andrew Alper , and the President of the university is Robert Zimmer ."
172,144,"In 2012-2013 , the Core classes at Chicago were limited to 17 students , and are generally led by a full-time professor -LRB- as opposed to a teaching assistant -RRB- . As of the 2013 -- 2014 school year , 15 courses and demonstrated proficiency in a foreign language are required under the Core . Undergraduate courses at the University of Chicago are known for their demanding standards , heavy workload and academic difficulty ; according to Uni in the USA , `` Among the academic cream of American universities -- Harvard , Yale , Princeton , MIT , and the University of Chicago -- it is UChicago that can most convincingly claim to provide the most rigorous , intense learning experience . ",of the 2013 -- 2014 school year,15 courses and demonstrated proficiency in a foreign language are required under the Core .
186,144,"Killer T cells are a sub-group of T cells that kill cells that are infected with viruses -LRB- and other pathogens -RRB- , or are otherwise damaged or dysfunctional . As with B cells , each type of T cell recognizes a different antigen . Killer T cells are activated when their T cell receptor -LRB- TCR -RRB- binds to this specific antigen in a complex with the MHC Class I receptor of another cell . ",with B cells,each type of T cell recognizes a different antigen .
187,144,"This combination of MHC and antigen attracts a matching helper T cell , which releases lymphokines and activates the B cell . As the activated B cell then begins to divide , its offspring -LRB- plasma cells -RRB- secrete millions of copies of the antibody that recognizes this antigen . These antibodies circulate in blood plasma and lymph , bind to pathogens expressing the antigen and mark them for destruction by complement activation or for uptake and destruction by phagocytes . ",the activated B cell then begins to divide,its offspring -LRB- plasma cells -RRB- secrete millions of copies of the antibody that recognizes this antigen .
189,144,"The age-related decline in immune function is also related to decreasing vitamin D levels in the elderly . As people age , two things happen that negatively affect their vitamin D levels . First , they stay indoors more due to decreased activity levels . ",people age,two things happen that negatively affect their vitamin D levels .
195,144,"Particularly fast methods are available for numbers of special forms , such as Mersenne numbers . As of January 2016 -LSB- update -RSB- , the largest known prime number has 22,338,618 decimal digits . There are infinitely many primes , as demonstrated by Euclid around 300 BC . ",of January 2016 -LSB- update -RSB-,"the largest known prime number has 22,338,618 decimal digits ."
198,144,"Most of Luxembourg and a very small part of Belgium also drain to the Rhine via the Moselle . As it approaches the Dutch border , the Rhine has an annual mean discharge of 2,290 m3/s -LRB- 81,000 cu ft/s -RRB- and an average width of 400 m -LRB- 1,300 ft -RRB- . Between Bingen and Bonn , the Middle Rhine flows through the Rhine Gorge , a formation which was created by erosion . ",it approaches the Dutch border,"the Rhine has an annual mean discharge of 2,290 m3/s -LRB- 81,000 cu ft/s -RRB- and an average width of 400 m -LRB- 1,300 ft -RRB- ."
204,144,"The loess or wind-blown dust over that tundra , settled in and around the Rhine Valley , contributing to its current agricultural usefulness . As northwest Europe slowly began to warm up from 22,000 years ago onward , frozen subsoil and expanded alpine glaciers began to thaw and fall-winter snow covers melted in spring . Much of the discharge was routed to the Rhine and its downstream extension . ",northwest Europe slowly began to warm up from 22,"000 years ago onward , frozen subsoil and expanded alpine glaciers began to thaw and fall-winter snow covers melted in spring ."
205,144,"At the begin of the Holocene -LRB- ~ 11,700 years ago -RRB- , the Rhine occupied its Late-Glacial valley . As a meandering river , it reworked its ice-age braidplain . As sea-level continued to rise in the Netherlands , the formation of the Holocene Rhine-Meuse delta began -LRB- ~ 8,000 years ago -RRB- . ",a meandering river,it reworked its ice-age braidplain .
206,144,"As a meandering river , it reworked its ice-age braidplain . As sea-level continued to rise in the Netherlands , the formation of the Holocene Rhine-Meuse delta began -LRB- ~ 8,000 years ago -RRB- . Coeval absolute sea-level rise and tectonic subsidence have strongly influenced delta evolution . ",sea-level continued to rise in the Netherlands,"the formation of the Holocene Rhine-Meuse delta began -LRB- ~ 8,000 years ago -RRB- ."
208,144,"A vote clerk sits in front of the Presiding Officer and operates the electronic voting equipment and chamber clocks . As a member of the Scottish Parliamentary Corporate Body , the Presiding Officer is responsible for ensuring that the Parliament functions effectively and has the staff , property and resources it requires to operate . Convening the Parliamentary Bureau , which allocates time and sets the work agenda in the chamber , is another of the roles of the Presiding Officer . ",a member of the Scottish Parliamentary Corporate Body,"the Presiding Officer is responsible for ensuring that the Parliament functions effectively and has the staff , property and resources it requires to operate ."
209,144,"Of the total 131 seats , 129 are occupied by the Parliament 's elected MSPs and 2 are seats for the Scottish Law Officers -- the Lord Advocate and the Solicitor General for Scotland , who are not elected members of the Parliament but are members of the Scottish Government . As such the Law Officers may attend and speak in the plenary meetings of the Parliament but , as they are not elected MSPs , can not vote . Members are able to sit anywhere in the debating chamber , but typically sit in their party groupings . ",such the Law Officers may attend and speak in the plenary meetings of the Parliament but,"as they are not elected MSPs , can not vote ."
213,144,"This is repeated iteratively until all available list seats are allocated . As in the House of Commons , a number of qualifications apply to being an MSP . Such qualifications were introduced under the House of Commons Disqualification Act 1975 and the British Nationality Act 1981 . ",in the House of Commons,a number of qualifications apply to being an MSP .
218,144,"For some decades prior to the First Palestine Intifada in 1987 , the Muslim Brotherhood in Palestine took a `` quiescent '' stance towards Israel , focusing on preaching , education and social services , and benefiting from Israel 's `` indulgence '' to build up a network of mosques and charitable organizations . As the First Intifada gathered momentum and Palestinian shopkeepers closed their shops in support of the uprising , the Brotherhood announced the formation of HAMAS -LRB- `` zeal '' -RRB- , devoted to Jihad against Israel . Rather than being more moderate than the PLO , the 1988 Hamas charter took a more uncompromising stand , calling for the destruction of Israel and the establishment of an Islamic state in Palestine . ",the First Intifada gathered momentum and Palestinian shopkeepers closed their shops in support of the uprising,"the Brotherhood announced the formation of HAMAS -LRB- `` zeal '' -RRB- , devoted to Jihad against Israel ."
221,144,"In 2014 , the group proclaimed itself a caliphate , with religious , political and military authority over all Muslims worldwide . As of March 2015 -LSB- update -RSB- , it had control over territory occupied by ten million people in Iraq and Syria , and has nominal control over small areas of Libya , Nigeria and Afghanistan . -LRB- While a self-described state , it lacks international recognition . ",of March 2015 -LSB- update -RSB-,"it had control over territory occupied by ten million people in Iraq and Syria , and has nominal control over small areas of Libya , Nigeria and Afghanistan ."
226,144,"Such writers have expanded the time period associated with the term so that it now designates neither a policy , nor a short space of decades in the late 19th century , but a world system extending over a period of centuries , often going back to Christopher Columbus and , in some accounts , to the Crusades . As the application of the term has expanded , its meaning has shifted along five distinct but often parallel axes : the moral , the economic , the systemic , the cultural , and the temporal . Those changes reflect - among other shifts in sensibility - a growing unease , even squeamishness , with the fact of power , specifically , Western power . ",the application of the term has expanded,"its meaning has shifted along five distinct but often parallel axes : the moral , the economic , the systemic , the cultural , and the temporal ."
227,144,"Republicans , at first hostile to empire , only became supportive when Germany started to build her own colonial empire . As it developed , the new empire took on roles of trade with France , supplying raw materials and purchasing manufactured items , as well as lending prestige to the motherland and spreading French civilization and language as well as Catholicism . It also provided crucial manpower in both World Wars . ",it developed,"the new empire took on roles of trade with France , supplying raw materials and purchasing manufactured items , as well as lending prestige to the motherland and spreading French civilization and language as well as Catholicism ."
236,144,"Each Midsummer 's Eve , apart from the official floating of wreaths , jumping over fires , looking for the fern flower , there are musical performances , dignitaries ' speeches , fairs and fireworks by the river bank . As interesting examples of expositions the most notable are : the world 's first Museum of Posters boasting one of the largest collections of art posters in the world , Museum of Hunting and Riding and the Railway Museum . From among Warsaw 's 60 museums , the most prestigious ones are National Museum with a collection of works whose origin ranges in time from antiquity till the present epoch as well as one of the best collections of paintings in the country including some paintings from Adolf Hitler 's private collection , and Museum of the Polish Army whose set portrays the history of arms . ",interesting examples of expositions the most notable are : the world 's first Museum of Posters boasting one of the largest collections of art posters in the world,Museum of Hunting and Riding and the Railway Museum .
237,144,"In British America , wars were often named after the sitting British monarch , such as King William 's War or Queen Anne 's War . As there had already been a King George 's War in the 1740s , British colonists named the second war in King George 's reign after their opponents , and it became known as the French and Indian War . This traditional name continues as the standard in the United States , but it obscures the fact that Indians fought on both sides of the conflict , and that this was part of the Seven Years ' War , a much larger conflict between France and Great Britain . ",there had already been a King George 's War in the 1740s,"British colonists named the second war in King George 's reign after their opponents , and it became known as the French and Indian War ."
242,144,"Marin constructed a second fort at Fort Le Boeuf -LRB- present-day Waterford , Pennsylvania -RRB- , designed to guard the headwaters of LeBoeuf Creek . As he moved south , he drove off or captured British traders , alarming both the British and the Iroquois . Tanaghrisson , a chief of the Mingo , who were remnants of Iroquois and other tribes who had been driven west by colonial expansion . ",he moved south,"he drove off or captured British traders , alarming both the British and the Iroquois ."
243,144,"In conjunction , Shirley was made aware that the French were massing for an attack on Fort Oswego in his absence when he planned to attack Fort Niagara . As a response , Shirley left garrisons at Oswego , Fort Bull , and Fort Williams -LRB- the latter two located on the Oneida Carry between the Mohawk River and Wood Creek at present-day Rome , New York -RRB- . Supplies for use in the projected attack on Niagara were cached at Fort Bull . ",a response,"Shirley left garrisons at Oswego , Fort Bull , and Fort Williams -LRB- the latter two located on the Oneida Carry between the Mohawk River and Wood Creek at present-day Rome , New York -RRB- ."
